,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,pj787,1,4410.473,1
1,1,10,1,right,pj787,1,3769.479,1
2,1,10,2,right,pj787,0,4048.774,0
3,1,15,3,right,pj787,0,1727.3640000000000,0
4,0,0,4,right,pj787,0,1528.2530000000000,1
5,1,60,5,right,pj787,1,1544.0740000000000,1
6,0,0,6,right,pj787,0,4554.719,1
7,1,60,7,right,pj787,1,1181.924,1
8,1,25,8,right,pj787,1,747.765,1
9,1,15,9,right,pj787,0,2062.826,0
10,0,0,10,right,pj787,0,23556.895,1
11,0,0,11,right,pj787,0,9852.036,1
12,0,0,12,right,pj787,0,933.273,1
13,0,0,13,right,pj787,0,926.2660000000000,1
14,1,15,14,right,pj787,0,1255.396,0
15,1,10,15,right,pj787,0,1286.564,0
16,0,0,16,right,pj787,0,848.964,1
17,0,0,17,right,pj787,0,1935.234,1
18,0,0,18,right,pj787,0,1870.2060000000000,1
19,0,0,19,right,pj787,0,1448.155,1
20,1,25,20,right,pj787,1,6233.350000000000,1
21,0,0,21,right,pj787,0,1967.573,1
22,0,0,22,right,pj787,0,2369.35,1
23,1,60,23,right,pj787,1,918.311,1
24,1,60,24,right,pj787,1,805.192,1
25,0,0,25,right,pj787,0,1540.6980000000000,1
26,1,60,26,right,pj787,1,1288.083,1
27,1,10,27,right,pj787,0,1571.348,0
28,1,60,28,right,pj787,1,1060.781,1
29,0,0,29,right,pj787,0,2890.456,1
30,1,15,30,right,pj787,0,1400.833,0
31,1,25,31,right,pj787,1,2526.338,1
32,0,0,32,right,pj787,0,94961.859,1
33,0,0,33,right,pj787,0,923.067,1
34,0,0,34,right,pj787,0,989.577,1
35,1,60,35,right,pj787,1,1401.275,1
36,1,25,36,right,pj787,1,1411.854,1
37,1,25,37,right,pj787,1,830.7560000000000,1
38,0,0,38,right,pj787,0,1430.6460000000000,1
39,1,10,39,right,pj787,0,1081.755,0
40,0,0,40,right,pj787,0,1059.7510000000000,1
41,1,25,41,right,pj787,1,1594.7720000000000,1
42,1,25,42,right,pj787,1,966.469,1
43,1,60,43,right,pj787,1,1058.187,1
44,1,10,44,right,pj787,0,4279.064,0
45,1,25,45,right,pj787,0,1228.271,0
46,1,25,46,right,pj787,1,1297.652,1
47,0,0,47,right,pj787,1,1882.179,0
48,0,0,48,right,pj787,0,2831.5190000000000,1
49,0,0,49,right,pj787,0,6167.16,1
50,1,10,50,right,pj787,0,3710.086,0
51,1,25,51,right,pj787,0,1501.719,0
52,0,0,52,right,pj787,0,1033.088,1
53,0,0,53,right,pj787,0,957.345,1
54,1,25,54,right,pj787,1,1238.716,1
55,0,0,55,right,pj787,0,1907.556,1
56,0,0,56,right,pj787,0,1956.363,1
57,0,0,57,right,pj787,0,1330.451,1
58,0,0,58,right,pj787,0,919.274,1
59,1,25,59,right,pj787,1,2003.5730000000000,1
60,1,10,60,right,pj787,0,1369.957,0
61,1,15,61,right,pj787,0,1844.501,0
62,1,15,62,right,pj787,0,1391.817,0
63,1,15,63,right,pj787,0,2313.056,0
64,0,0,64,right,pj787,0,2699.27,1
65,1,10,65,right,pj787,0,1244.132,0
66,0,0,66,right,pj787,0,1800.75,1
67,0,0,67,right,pj787,0,980.847,1
68,1,60,68,right,pj787,1,1440.981,1
69,0,0,69,right,pj787,0,1278.9950000000000,1
70,1,60,70,right,pj787,1,942.065,1
71,0,0,71,right,pj787,0,1332.009,1
72,0,0,72,right,pj787,0,1172.7430000000000,1
73,0,0,73,right,pj787,0,1577.15,1
74,1,10,74,right,pj787,0,1419.12,0
75,1,15,75,right,pj787,1,1671.8310000000000,1
76,1,10,76,right,pj787,0,1294.687,0
77,0,0,77,right,pj787,0,1106.828,1
78,0,0,78,right,pj787,0,1324.861,1
79,1,25,79,right,pj787,1,1253.242,1
80,0,0,80,right,pj787,1,3490.809,0
81,1,60,81,right,pj787,1,2780.8830000000000,1
82,0,0,82,right,pj787,0,1376.183,1
83,0,0,83,right,pj787,0,4952.9490000000000,1
84,0,0,84,right,pj787,0,1767.124,1
85,0,0,85,right,pj787,0,1999.105,1
86,1,15,86,right,pj787,1,1357.2040000000000,1
87,1,25,87,right,pj787,1,1359.378,1
88,1,10,88,right,pj787,0,2865.031,0
89,1,60,89,right,pj787,1,997.623,1
90,0,0,90,right,pj787,0,6536.324,1
91,0,0,91,right,pj787,0,1752.0420000000000,1
92,0,0,92,right,pj787,0,1527.0790000000000,1
93,1,25,93,right,pj787,1,1459.8770000000000,1
94,1,60,94,right,pj787,1,1132.9340000000000,1
95,1,10,95,right,pj787,0,2015.117,0
96,0,0,96,right,pj787,0,2631.598,1
97,0,0,97,right,pj787,0,1562.98,1
98,0,0,98,right,pj787,0,2531.3670000000000,1
