,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,ab8200,1,8083.748,1
1,1,10,1,left,ab8200,1,6077.923,1
2,1,10,2,left,ab8200,0,4045.4040000000005,0
3,1,15,3,left,ab8200,0,5601.408,0
4,0,0,4,left,ab8200,0,7364.772,1
5,1,60,5,left,ab8200,1,4273.195000000001,1
6,0,0,6,left,ab8200,0,9458.306,1
7,1,60,7,left,ab8200,1,3770.315,1
8,1,25,8,left,ab8200,1,3548.009,1
9,1,15,9,left,ab8200,1,7117.824,1
10,0,0,10,left,ab8200,0,8052.402000000001,1
11,0,0,11,left,ab8200,0,8010.184,1
12,0,0,12,left,ab8200,0,6724.972,1
13,0,0,13,left,ab8200,1,9742.208,0
14,1,15,14,left,ab8200,1,3921.751,1
15,1,10,15,left,ab8200,0,9603.047999999999,0
16,0,0,16,left,ab8200,1,20370.802,0
17,0,0,17,left,ab8200,0,12441.785,1
18,0,0,18,left,ab8200,0,16992.576,1
19,0,0,19,left,ab8200,0,24833.352000000003,1
20,1,25,20,left,ab8200,1,15007.880000000001,1
21,0,0,21,left,ab8200,1,13861.459,0
22,0,0,22,left,ab8200,1,18151.966,0
23,1,60,23,left,ab8200,1,3291.897,1
24,1,60,24,left,ab8200,1,3164.2610000000004,1
25,0,0,25,left,ab8200,0,7192.893,1
26,1,60,26,left,ab8200,1,4631.387,1
27,1,10,27,left,ab8200,0,42893.276999999995,0
28,1,60,28,left,ab8200,1,3088.073,1
29,0,0,29,left,ab8200,0,3693.38,1
30,1,15,30,left,ab8200,1,3815.572,1
31,1,25,31,left,ab8200,1,3282.298,1
32,0,0,32,left,ab8200,0,5659.652,1
33,0,0,33,left,ab8200,0,14698.53,1
34,0,0,34,left,ab8200,0,3803.5420000000004,1
35,1,60,35,left,ab8200,1,2647.953,1
36,1,25,36,left,ab8200,1,4359.025,1
37,1,25,37,left,ab8200,1,4685.689,1
38,0,0,38,left,ab8200,0,4563.809,1
39,1,10,39,left,ab8200,0,17948.612,0
40,0,0,40,left,ab8200,0,9044.704,1
41,1,25,41,left,ab8200,1,2796.991,1
42,1,25,42,left,ab8200,1,3959.3669999999997,1
43,1,60,43,left,ab8200,1,1656.147,1
44,1,10,44,left,ab8200,0,6127.512000000001,0
45,1,25,45,left,ab8200,0,2614.643,0
46,1,25,46,left,ab8200,1,2609.112,1
47,0,0,47,left,ab8200,0,10490.494999999999,1
48,0,0,48,left,ab8200,0,17090.713,1
49,0,0,49,left,ab8200,0,13091.826,1
50,1,10,50,left,ab8200,0,20044.801,0
51,1,25,51,left,ab8200,1,3549.039,1
52,0,0,52,left,ab8200,1,27230.782000000003,0
53,0,0,53,left,ab8200,1,5753.756,0
54,1,25,54,left,ab8200,1,1632.233,1
55,0,0,55,left,ab8200,0,4102.192999999999,1
56,0,0,56,left,ab8200,0,19780.784,1
57,0,0,57,left,ab8200,0,4668.742,1
58,0,0,58,left,ab8200,1,16288.8,0
59,1,25,59,left,ab8200,0,10669.041,0
60,1,10,60,left,ab8200,0,4152.466,0
61,1,15,61,left,ab8200,0,8952.809000000001,0
62,1,15,62,left,ab8200,1,13774.488,1
63,1,15,63,left,ab8200,0,6831.782999999999,0
64,0,0,64,left,ab8200,0,8544.571,1
65,1,10,65,left,ab8200,0,7823.578,0
66,0,0,66,left,ab8200,1,6514.672,0
67,0,0,67,left,ab8200,0,14327.508,1
68,1,60,68,left,ab8200,1,3300.9719999999998,1
69,0,0,69,left,ab8200,0,6387.946999999999,1
70,1,60,70,left,ab8200,1,2790.588,1
71,0,0,71,left,ab8200,0,28991.790999999997,1
72,0,0,72,left,ab8200,0,7585.13,1
73,0,0,73,left,ab8200,0,2821.649,1
74,1,10,74,left,ab8200,1,4762.781999999999,1
