,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,aed454,1,119670.093,1
1,1,10,1,right,aed454,0,8364.058,0
2,1,10,2,right,aed454,0,12645.251999999999,0
3,1,15,3,right,aed454,1,40282.895000000004,1
4,0,0,4,right,aed454,0,19690.878999999997,1
5,1,60,5,right,aed454,1,2461.823,1
6,0,0,6,right,aed454,0,77494.504,1
7,1,60,7,right,aed454,1,1671.5120000000002,1
8,1,25,8,right,aed454,1,1812.879,1
9,1,15,9,right,aed454,1,29547.588,1
10,0,0,10,right,aed454,0,7696.3949999999995,1
11,0,0,11,right,aed454,0,9405.159,1
12,0,0,12,right,aed454,0,11114.656,1
13,0,0,13,right,aed454,0,16717.973,1
14,1,15,14,right,aed454,1,9550.019,1
15,1,10,15,right,aed454,1,14377.288,1
16,0,0,16,right,aed454,0,13254.785,1
17,0,0,17,right,aed454,1,12311.287,0
18,0,0,18,right,aed454,0,5556.594999999999,1
19,0,0,19,right,aed454,0,15877.644,1
20,1,25,20,right,aed454,1,5184.578,1
21,0,0,21,right,aed454,0,4087.8119999999994,1
22,0,0,22,right,aed454,1,8766.338,0
23,1,60,23,right,aed454,1,1685.713,1
24,1,60,24,right,aed454,1,1468.919,1
25,0,0,25,right,aed454,0,13798.807,1
26,1,60,26,right,aed454,1,2654.827,1
27,1,10,27,right,aed454,1,8283.084,1
28,1,60,28,right,aed454,1,1423.975,1
29,0,0,29,right,aed454,0,3560.194,1
30,1,15,30,right,aed454,0,2029.776,0
31,1,25,31,right,aed454,1,2920.891,1
32,0,0,32,right,aed454,1,9174.609999999999,0
33,0,0,33,right,aed454,1,8023.026,0
34,0,0,34,right,aed454,0,3135.297,1
35,1,60,35,right,aed454,1,2013.084,1
36,1,25,36,right,aed454,1,4070.0750000000003,1
37,1,25,37,right,aed454,1,1651.086,1
38,0,0,38,right,aed454,0,4934.395,1
39,1,10,39,right,aed454,1,11505.197,1
40,0,0,40,right,aed454,0,5924.6720000000005,1
41,1,25,41,right,aed454,1,1928.845,1
42,1,25,42,right,aed454,1,5239.563,1
43,1,60,43,right,aed454,1,1286.0439999999999,1
44,1,10,44,right,aed454,0,5003.647,0
45,1,25,45,right,aed454,1,3737.132,1
46,1,25,46,right,aed454,1,2703.029,1
47,0,0,47,right,aed454,0,3496.339,1
48,0,0,48,right,aed454,0,3603.0440000000003,1
49,0,0,49,right,aed454,0,3420.9700000000003,1
50,1,10,50,right,aed454,1,8027.759,1
51,1,25,51,right,aed454,1,1753.728,1
52,0,0,52,right,aed454,0,3457.9970000000003,1
53,0,0,53,right,aed454,0,2171.51,1
54,1,25,54,right,aed454,1,2069.296,1
55,0,0,55,right,aed454,0,3032.7670000000003,1
56,0,0,56,right,aed454,0,2644.416,1
57,0,0,57,right,aed454,0,11121.282000000001,1
58,0,0,58,right,aed454,0,4352.336,1
59,1,25,59,right,aed454,1,5720.272,1
60,1,10,60,right,aed454,0,2166.798,0
61,1,15,61,right,aed454,0,7574.934,0
62,1,15,62,right,aed454,1,6678.243,1
63,1,15,63,right,aed454,1,6440.974,1
64,0,0,64,right,aed454,0,2966.049,1
65,1,10,65,right,aed454,0,4569.336,0
66,0,0,66,right,aed454,1,5591.13,0
67,0,0,67,right,aed454,0,4042.0670000000005,1
68,1,60,68,right,aed454,1,1389.289,1
69,0,0,69,right,aed454,0,3534.062,1
70,1,60,70,right,aed454,1,1347.731,1
71,0,0,71,right,aed454,0,2982.853,1
72,0,0,72,right,aed454,0,3032.349,1
73,0,0,73,right,aed454,0,7772.619,1
74,1,10,74,right,aed454,0,5922.263,0
75,1,15,75,right,aed454,0,4723.07,0
76,1,10,76,right,aed454,0,3087.372,0
77,0,0,77,right,aed454,0,7634.78,1
78,0,0,78,right,aed454,0,6586.713,1
79,1,25,79,right,aed454,1,3454.666,1
80,0,0,80,right,aed454,0,3686.562,1
81,1,60,81,right,aed454,1,1803.217,1
82,0,0,82,right,aed454,0,2813.182,1
83,0,0,83,right,aed454,1,3175.103,0
84,0,0,84,right,aed454,0,3793.0510000000004,1
85,0,0,85,right,aed454,0,4077.5050000000006,1
86,1,15,86,right,aed454,0,5661.737999999999,0
87,1,25,87,right,aed454,1,2990.152,1
88,1,10,88,right,aed454,0,3829.185,0
89,1,60,89,right,aed454,1,1554.424,1
90,0,0,90,right,aed454,1,1999.443,0
91,0,0,91,right,aed454,0,3632.415,1
92,0,0,92,right,aed454,0,4015.0560000000005,1
93,1,25,93,right,aed454,1,1886.007,1
94,1,60,94,right,aed454,1,1401.353,1
95,1,10,95,right,aed454,0,4700.575,0
96,0,0,96,right,aed454,0,5142.045,1
97,0,0,97,right,aed454,0,3060.067,1
98,0,0,98,right,aed454,0,4335.255,1
99,0,0,99,right,aed454,0,5156.228999999999,1
100,0,0,100,right,aed454,0,6154.343,1
101,0,0,101,right,aed454,0,11688.187,1
102,1,25,102,right,aed454,1,2445.422,1
103,0,0,103,right,aed454,0,3765.682,1
104,1,10,104,right,aed454,0,3392.6789999999996,0
105,1,15,105,right,aed454,0,3512.355,0
106,1,15,106,right,aed454,1,12296.161,1
107,0,0,107,right,aed454,0,2392.666,1
108,1,15,108,right,aed454,0,5221.92,0
109,0,0,109,right,aed454,0,2722.346,1
110,0,0,110,right,aed454,0,3593.44,1
111,1,10,111,right,aed454,0,1782.48,0
112,0,0,112,right,aed454,1,3519.5370000000003,0
113,0,0,113,right,aed454,0,2636.4230000000002,1
114,0,0,114,right,aed454,0,6187.459,1
115,0,0,115,right,aed454,1,4349.387,0
116,0,0,116,right,aed454,0,2599.8230000000003,1
117,1,25,117,right,aed454,1,2265.062,1
118,0,0,118,right,aed454,0,3928.821,1
119,1,60,119,right,aed454,1,1423.154,1
120,0,0,120,right,aed454,0,6504.016,1
121,0,0,121,right,aed454,0,2918.6200000000003,1
122,1,25,122,right,aed454,1,2061.237,1
123,0,0,123,right,aed454,0,2327.108,1
124,1,60,124,right,aed454,1,1650.3000000000002,1
125,0,0,125,right,aed454,0,3605.63,1
126,1,10,126,right,aed454,0,1215.9489999999998,0
127,1,15,127,right,aed454,1,3334.925,1
128,0,0,128,right,aed454,0,2154.908,1
129,0,0,129,right,aed454,0,1728.572,1
130,0,0,130,right,aed454,0,2042.345,1
131,1,25,131,right,aed454,1,1834.4750000000001,1
132,1,60,132,right,aed454,1,1252.6580000000001,1
