,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,djb596,1,8499.879,1
1,1,10,1,left,djb596,1,3884.906,1
2,1,10,2,left,djb596,0,4723.854,0
3,1,15,3,left,djb596,0,6006.272,0
4,0,0,4,left,djb596,0,11595.618999999999,1
5,1,60,5,left,djb596,1,2966.323,1
6,0,0,6,left,djb596,0,3746.041,1
7,1,60,7,left,djb596,1,2054.322,1
8,1,25,8,left,djb596,1,1544.6709999999998,1
9,1,15,9,left,djb596,1,6537.987,1
10,0,0,10,left,djb596,0,2518.643,1
11,0,0,11,left,djb596,0,10192.125,1
12,0,0,12,left,djb596,0,1890.97,1
13,0,0,13,left,djb596,0,2716.473,1
14,1,15,14,left,djb596,1,4562.367,1
15,1,10,15,left,djb596,1,2817.455,1
16,0,0,16,left,djb596,1,4035.584,0
17,0,0,17,left,djb596,0,2486.2320000000004,1
18,0,0,18,left,djb596,0,1893.443,1
19,0,0,19,left,djb596,0,3943.587,1
20,1,25,20,left,djb596,1,4730.176,1
21,0,0,21,left,djb596,0,5255.26,1
22,0,0,22,left,djb596,0,1626.523,1
23,1,60,23,left,djb596,1,1353.465,1
24,1,60,24,left,djb596,1,954.455,1
25,0,0,25,left,djb596,0,2355.359,1
26,1,60,26,left,djb596,1,1047.173,1
27,1,10,27,left,djb596,0,2080.504,0
28,1,60,28,left,djb596,1,1117.375,1
29,0,0,29,left,djb596,1,674.594,0
30,1,15,30,left,djb596,0,1952.026,0
31,1,25,31,left,djb596,0,1248.642,0
32,0,0,32,left,djb596,1,239.93300000000002,0
33,0,0,33,left,djb596,0,4040.7140000000004,1
34,0,0,34,left,djb596,0,2227.47,1
35,1,60,35,left,djb596,1,1210.561,1
36,1,25,36,left,djb596,1,1365.346,1
37,1,25,37,left,djb596,1,1175.721,1
38,0,0,38,left,djb596,0,3009.2720000000004,1
39,1,10,39,left,djb596,1,5044.716,1
40,0,0,40,left,djb596,0,2157.412,1
41,1,25,41,left,djb596,1,1720.916,1
42,1,25,42,left,djb596,1,1589.013,1
43,1,60,43,left,djb596,1,1164.374,1
44,1,10,44,left,djb596,0,1899.629,0
45,1,25,45,left,djb596,1,1501.251,1
46,1,25,46,left,djb596,1,1208.253,1
47,0,0,47,left,djb596,0,2010.2319999999997,1
48,0,0,48,left,djb596,0,2265.585,1
49,0,0,49,left,djb596,1,1562.729,0
50,1,10,50,left,djb596,0,2494.723,0
51,1,25,51,left,djb596,1,2198.687,1
52,0,0,52,left,djb596,0,3006.497,1
53,0,0,53,left,djb596,0,1464.778,1
54,1,25,54,left,djb596,1,1213.586,1
55,0,0,55,left,djb596,0,1703.65,1
56,0,0,56,left,djb596,0,2714.452,1
57,0,0,57,left,djb596,0,1666.55,1
58,0,0,58,left,djb596,1,1676.9879999999998,0
59,1,25,59,left,djb596,1,1698.709,1
60,1,10,60,left,djb596,0,2989.425,0
61,1,15,61,left,djb596,0,1476.66,0
62,1,15,62,left,djb596,1,1886.395,1
63,1,15,63,left,djb596,0,2227.807,0
64,0,0,64,left,djb596,0,1664.35,1
65,1,10,65,left,djb596,0,1487.1000000000001,0
66,0,0,66,left,djb596,0,3416.8219999999997,1
67,0,0,67,left,djb596,0,2103.553,1
68,1,60,68,left,djb596,1,2124.799,1
69,0,0,69,left,djb596,0,2119.864,1
70,1,60,70,left,djb596,1,1083.39,1
71,0,0,71,left,djb596,0,1940.176,1
72,0,0,72,left,djb596,0,1653.5010000000002,1
73,0,0,73,left,djb596,0,1047.243,1
74,1,10,74,left,djb596,0,1946.089,0
75,1,15,75,left,djb596,1,1572.33,1
76,1,10,76,left,djb596,0,1569.05,0
77,0,0,77,left,djb596,0,1287.7,1
78,0,0,78,left,djb596,0,963.0609999999999,1
79,1,25,79,left,djb596,1,1263.987,1
80,0,0,80,left,djb596,1,2099.572,0
81,1,60,81,left,djb596,1,1179.735,1
82,0,0,82,left,djb596,0,1901.8129999999999,1
83,0,0,83,left,djb596,0,1225.603,1
84,0,0,84,left,djb596,0,1367.397,1
85,0,0,85,left,djb596,0,1954.242,1
86,1,15,86,left,djb596,1,1433.509,1
87,1,25,87,left,djb596,1,502.997,1
88,1,10,88,left,djb596,0,1866.98,0
89,1,60,89,left,djb596,1,1221.889,1
90,0,0,90,left,djb596,0,1341.859,1
91,0,0,91,left,djb596,0,979.687,1
92,0,0,92,left,djb596,0,1375.173,1
93,1,25,93,left,djb596,1,1403.46,1
94,1,60,94,left,djb596,1,1536.662,1
95,1,10,95,left,djb596,0,2466.8230000000003,0
96,0,0,96,left,djb596,0,1676.304,1
97,0,0,97,left,djb596,0,1361.15,1
98,0,0,98,left,djb596,0,3951.645,1
99,0,0,99,left,djb596,0,2482.671,1
100,0,0,100,left,djb596,0,2295.3929999999996,1
101,0,0,101,left,djb596,0,2147.498,1
102,1,25,102,left,djb596,1,1725.346,1
103,0,0,103,left,djb596,0,1898.727,1
104,1,10,104,left,djb596,0,1491.3829999999998,0
105,1,15,105,left,djb596,0,1253.512,0
106,1,15,106,left,djb596,0,1237.066,0
107,0,0,107,left,djb596,0,1192.5349999999999,1
108,1,15,108,left,djb596,0,874.2370000000001,0
