,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,fwm229,1,3687.688,1
1,1,10,1,right,fwm229,1,1400.099,1
2,1,10,2,right,fwm229,0,3452.674,0
3,1,15,3,right,fwm229,0,2674.17,0
4,0,0,4,right,fwm229,0,5610.6449999999995,1
5,1,60,5,right,fwm229,1,2955.0950000000003,1
6,0,0,6,right,fwm229,0,6371.798,1
7,1,60,7,right,fwm229,1,3039.476,1
8,1,25,8,right,fwm229,1,3364.945,1
9,1,15,9,right,fwm229,1,9470.434,1
10,0,0,10,right,fwm229,0,3069.7169999999996,1
11,0,0,11,right,fwm229,0,5011.391,1
12,0,0,12,right,fwm229,0,1515.8899999999999,1
13,0,0,13,right,fwm229,0,2260.878,1
14,1,15,14,right,fwm229,0,5238.657,0
15,1,10,15,right,fwm229,0,2274.5829999999996,0
16,0,0,16,right,fwm229,0,3920.596,1
17,0,0,17,right,fwm229,0,4458.423,1
18,0,0,18,right,fwm229,0,4421.598,1
19,0,0,19,right,fwm229,0,4884.5470000000005,1
20,1,25,20,right,fwm229,1,8661.901,1
21,0,0,21,right,fwm229,0,4373.736,1
22,0,0,22,right,fwm229,1,7841.669,0
23,1,60,23,right,fwm229,1,5184.659,1
24,1,60,24,right,fwm229,1,1301.2330000000002,1
25,0,0,25,right,fwm229,0,8517.017,1
26,1,60,26,right,fwm229,1,2159.1870000000004,1
27,1,10,27,right,fwm229,0,6855.925,0
28,1,60,28,right,fwm229,1,4555.963000000001,1
29,0,0,29,right,fwm229,0,5388.7660000000005,1
30,1,15,30,right,fwm229,0,5416.8060000000005,0
31,1,25,31,right,fwm229,1,1795.693,1
32,0,0,32,right,fwm229,0,4890.603999999999,1
33,0,0,33,right,fwm229,0,2623.04,1
34,0,0,34,right,fwm229,0,3645.454,1
35,1,60,35,right,fwm229,1,3750.707,1
36,1,25,36,right,fwm229,1,2237.7470000000003,1
37,1,25,37,right,fwm229,1,2187.281,1
38,0,0,38,right,fwm229,0,7526.25,1
39,1,10,39,right,fwm229,0,8869.821,0
40,0,0,40,right,fwm229,0,5464.143,1
41,1,25,41,right,fwm229,1,2084.171,1
42,1,25,42,right,fwm229,1,2215.645,1
43,1,60,43,right,fwm229,1,3917.484,1
44,1,10,44,right,fwm229,0,7593.73,0
45,1,25,45,right,fwm229,1,2688.969,1
46,1,25,46,right,fwm229,1,1609.456,1
47,0,0,47,right,fwm229,0,9173.889000000001,1
48,0,0,48,right,fwm229,0,6513.593,1
49,0,0,49,right,fwm229,0,8651.444,1
50,1,10,50,right,fwm229,0,4157.678,0
51,1,25,51,right,fwm229,1,5642.383,1
52,0,0,52,right,fwm229,0,7211.6410000000005,1
53,0,0,53,right,fwm229,0,4969.46,1
54,1,25,54,right,fwm229,1,4600.268,1
55,0,0,55,right,fwm229,0,3674.8500000000004,1
56,0,0,56,right,fwm229,1,5085.73,0
57,0,0,57,right,fwm229,0,2277.06,1
58,0,0,58,right,fwm229,0,4232.5470000000005,1
59,1,25,59,right,fwm229,1,9305.07,1
60,1,10,60,right,fwm229,0,7683.964,0
61,1,15,61,right,fwm229,0,7090.526,0
62,1,15,62,right,fwm229,1,10417.447,1
63,1,15,63,right,fwm229,1,6498.241,1
64,0,0,64,right,fwm229,0,3706.6690000000003,1
65,1,10,65,right,fwm229,0,2914.7599999999998,0
66,0,0,66,right,fwm229,0,2250.5519999999997,1
67,0,0,67,right,fwm229,0,3444.531,1
68,1,60,68,right,fwm229,1,2275.205,1
69,0,0,69,right,fwm229,0,2551.905,1
70,1,60,70,right,fwm229,1,1723.8709999999999,1
71,0,0,71,right,fwm229,0,5225.226000000001,1
72,0,0,72,right,fwm229,0,2329.797,1
73,0,0,73,right,fwm229,0,3631.64,1
74,1,10,74,right,fwm229,0,5128.508,0
75,1,15,75,right,fwm229,0,6141.169,0
76,1,10,76,right,fwm229,0,4203.64,0
77,0,0,77,right,fwm229,0,4568.429,1
78,0,0,78,right,fwm229,0,9246.351,1
79,1,25,79,right,fwm229,1,2046.99,1
80,0,0,80,right,fwm229,0,2881.0660000000003,1
81,1,60,81,right,fwm229,1,2791.96,1
82,0,0,82,right,fwm229,0,2417.288,1
83,0,0,83,right,fwm229,0,3379.108,1
84,0,0,84,right,fwm229,0,9220.268,1
85,0,0,85,right,fwm229,0,7265.434,1
86,1,15,86,right,fwm229,1,6934.959,1
87,1,25,87,right,fwm229,0,5634.721,0
88,1,10,88,right,fwm229,0,8747.165,0
89,1,60,89,right,fwm229,1,3630.36,1
90,0,0,90,right,fwm229,0,7132.774,1
91,0,0,91,right,fwm229,0,4529.718,1
92,0,0,92,right,fwm229,0,4627.974,1
93,1,25,93,right,fwm229,1,3392.1299999999997,1
94,1,60,94,right,fwm229,1,1882.866,1
95,1,10,95,right,fwm229,0,5612.441,0
96,0,0,96,right,fwm229,0,20646.132,1
97,0,0,97,right,fwm229,0,2577.835,1
98,0,0,98,right,fwm229,0,8493.402,1
99,0,0,99,right,fwm229,0,5068.304999999999,1
100,0,0,100,right,fwm229,0,4474.997,1
101,0,0,101,right,fwm229,0,5124.469,1
102,1,25,102,right,fwm229,1,2312.714,1
103,0,0,103,right,fwm229,0,4489.911,1
104,1,10,104,right,fwm229,0,4525.839,0
105,1,15,105,right,fwm229,1,12169.6,1
106,1,15,106,right,fwm229,0,12869.531,0
107,0,0,107,right,fwm229,0,6048.853,1
108,1,15,108,right,fwm229,1,4926.276,1
109,0,0,109,right,fwm229,0,6471.082,1
110,0,0,110,right,fwm229,1,5425.118,0
111,1,10,111,right,fwm229,0,6633.4619999999995,0
112,0,0,112,right,fwm229,0,4832.438,1
113,0,0,113,right,fwm229,1,5436.542,0
114,0,0,114,right,fwm229,0,2917.7369999999996,1
115,0,0,115,right,fwm229,0,3406.174,1
116,0,0,116,right,fwm229,0,4494.642,1
117,1,25,117,right,fwm229,1,4927.645,1
118,0,0,118,right,fwm229,0,3002.494,1
119,1,60,119,right,fwm229,1,7909.604,1
120,0,0,120,right,fwm229,0,2724.9979999999996,1
121,0,0,121,right,fwm229,1,4586.1140000000005,0
122,1,25,122,right,fwm229,1,6589.996,1
123,0,0,123,right,fwm229,0,5805.66,1
124,1,60,124,right,fwm229,1,15534.045,1
125,0,0,125,right,fwm229,0,2569.1530000000002,1
126,1,10,126,right,fwm229,0,3375.359,0
127,1,15,127,right,fwm229,1,3737.248,1
128,0,0,128,right,fwm229,1,2378.522,0
129,0,0,129,right,fwm229,0,5689.530000000001,1
130,0,0,130,right,fwm229,0,3876.907,1
131,1,25,131,right,fwm229,1,4605.352,1
132,1,60,132,right,fwm229,1,1805.3799999999999,1
133,1,25,133,right,fwm229,1,1091.899,1
134,0,0,134,right,fwm229,0,4992.575000000001,1
135,1,60,135,right,fwm229,1,3898.197,1
136,0,0,136,right,fwm229,0,4061.1949999999997,1
137,1,10,137,right,fwm229,0,1777.1490000000001,0
138,0,0,138,right,fwm229,0,2672.583,1
139,1,15,139,right,fwm229,0,3106.394,0
140,0,0,140,right,fwm229,1,3394.137,0
141,0,0,141,right,fwm229,1,3812.573,0
