,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,ipv205,1,5464.723,1
1,1,10,1,left,ipv205,0,4016.2870000000003,0
2,1,10,2,left,ipv205,0,6697.593000000001,0
3,1,15,3,left,ipv205,1,3728.146,1
4,0,0,4,left,ipv205,1,4253.7390000000005,0
5,1,60,5,left,ipv205,1,2558.248,1
6,0,0,6,left,ipv205,1,5804.222000000001,0
7,1,60,7,left,ipv205,1,1360.399,1
8,1,25,8,left,ipv205,1,1624.978,1
9,1,15,9,left,ipv205,1,1565.0610000000001,1
10,0,0,10,left,ipv205,0,8021.692,1
11,0,0,11,left,ipv205,0,2954.393,1
12,0,0,12,left,ipv205,0,1565.736,1
13,0,0,13,left,ipv205,0,5617.215,1
14,1,15,14,left,ipv205,1,2514.337,1
15,1,10,15,left,ipv205,0,2756.97,0
16,0,0,16,left,ipv205,0,3497.52,1
17,0,0,17,left,ipv205,0,5000.225,1
18,0,0,18,left,ipv205,1,3466.304,0
19,0,0,19,left,ipv205,0,5218.014,1
20,1,25,20,left,ipv205,1,2812.962,1
21,0,0,21,left,ipv205,1,3203.755,0
22,0,0,22,left,ipv205,0,4023.3749999999995,1
23,1,60,23,left,ipv205,1,2222.273,1
24,1,60,24,left,ipv205,1,1497.763,1
25,0,0,25,left,ipv205,0,2558.8860000000004,1
26,1,60,26,left,ipv205,1,2120.7980000000002,1
27,1,10,27,left,ipv205,0,2346.39,0
28,1,60,28,left,ipv205,1,2176.764,1
29,0,0,29,left,ipv205,0,8945.187,1
30,1,15,30,left,ipv205,0,1328.109,0
31,1,25,31,left,ipv205,1,2331.883,1
32,0,0,32,left,ipv205,0,4522.134,1
33,0,0,33,left,ipv205,0,5765.416,1
34,0,0,34,left,ipv205,0,4119.406,1
35,1,60,35,left,ipv205,1,2035.6100000000001,1
36,1,25,36,left,ipv205,1,1972.6109999999999,1
37,1,25,37,left,ipv205,1,1382.4399999999998,1
38,0,0,38,left,ipv205,0,2851.686,1
39,1,10,39,left,ipv205,0,3599.532,0
40,0,0,40,left,ipv205,0,3962.7560000000003,1
41,1,25,41,left,ipv205,1,1944.4660000000001,1
42,1,25,42,left,ipv205,1,2244.034,1
43,1,60,43,left,ipv205,1,1382.508,1
44,1,10,44,left,ipv205,1,1680.5639999999999,1
45,1,25,45,left,ipv205,0,2030.4850000000001,0
46,1,25,46,left,ipv205,1,2122.4440000000004,1
47,0,0,47,left,ipv205,0,3908.443,1
48,0,0,48,left,ipv205,0,3116.1330000000003,1
49,0,0,49,left,ipv205,1,2875.913,0
50,1,10,50,left,ipv205,0,2803.714,0
51,1,25,51,left,ipv205,1,3004.555,1
52,0,0,52,left,ipv205,0,5243.488,1
53,0,0,53,left,ipv205,0,18477.542,1
54,1,25,54,left,ipv205,1,2065.648,1
55,0,0,55,left,ipv205,1,3135.928,0
56,0,0,56,left,ipv205,0,2527.383,1
57,0,0,57,left,ipv205,0,2031.5180000000003,1
58,0,0,58,left,ipv205,1,3448.105,0
59,1,25,59,left,ipv205,1,1872.112,1
60,1,10,60,left,ipv205,0,4103.715,0
61,1,15,61,left,ipv205,0,1931.041,0
62,1,15,62,left,ipv205,1,2798.538,1
63,1,15,63,left,ipv205,0,2183.0099999999998,0
64,0,0,64,left,ipv205,0,4629.637,1
65,1,10,65,left,ipv205,0,2860.3179999999998,0
66,0,0,66,left,ipv205,0,2281.0899999999997,1
67,0,0,67,left,ipv205,0,2272.113,1
68,1,60,68,left,ipv205,1,2020.523,1
69,0,0,69,left,ipv205,0,14109.047,1
70,1,60,70,left,ipv205,1,3945.652,1
71,0,0,71,left,ipv205,0,2669.913,1
72,0,0,72,left,ipv205,0,2126.544,1
73,0,0,73,left,ipv205,0,1995.835,1
74,1,10,74,left,ipv205,0,1221.117,0
75,1,15,75,left,ipv205,0,2817.951,0
76,1,10,76,left,ipv205,0,1721.794,0
77,0,0,77,left,ipv205,0,1656.884,1
78,0,0,78,left,ipv205,0,2207.272,1
79,1,25,79,left,ipv205,1,2096.345,1
80,0,0,80,left,ipv205,1,1821.288,0
81,1,60,81,left,ipv205,1,1915.402,1
82,0,0,82,left,ipv205,0,2374.463,1
83,0,0,83,left,ipv205,0,1298.164,1
84,0,0,84,left,ipv205,0,3172.523,1
85,0,0,85,left,ipv205,1,3602.5719999999997,0
86,1,15,86,left,ipv205,1,1734.672,1
87,1,25,87,left,ipv205,1,2329.116,1
88,1,10,88,left,ipv205,1,2216.182,1
89,1,60,89,left,ipv205,1,1258.55,1
90,0,0,90,left,ipv205,1,2954.8450000000003,0
91,0,0,91,left,ipv205,0,3483.089,1
92,0,0,92,left,ipv205,0,1675.378,1
93,1,25,93,left,ipv205,1,2586.226,1
94,1,60,94,left,ipv205,1,1484.701,1
95,1,10,95,left,ipv205,0,5955.7570000000005,0
96,0,0,96,left,ipv205,0,1801.798,1
97,0,0,97,left,ipv205,0,1673.03,1
98,0,0,98,left,ipv205,0,2955.723,1
99,0,0,99,left,ipv205,0,1473.365,1
100,0,0,100,left,ipv205,0,1633.181,1
101,0,0,101,left,ipv205,0,2499.754,1
102,1,25,102,left,ipv205,0,2833.9249999999997,0
103,0,0,103,left,ipv205,0,1937.293,1
104,1,10,104,left,ipv205,0,1854.8960000000002,0
105,1,15,105,left,ipv205,0,1522.807,0
106,1,15,106,left,ipv205,0,1443.499,0
107,0,0,107,left,ipv205,0,6220.994,1
108,1,15,108,left,ipv205,1,3188.922,1
109,0,0,109,left,ipv205,0,1909.1789999999999,1
110,0,0,110,left,ipv205,0,1514.089,1
111,1,10,111,left,ipv205,0,3309.3689999999997,0
112,0,0,112,left,ipv205,0,3158.992,1
113,0,0,113,left,ipv205,1,2540.159,0
114,0,0,114,left,ipv205,1,2353.189,0
115,0,0,115,left,ipv205,0,3978.671,1
116,0,0,116,left,ipv205,0,19088.668999999998,1
117,1,25,117,left,ipv205,1,2016.1970000000001,1
118,0,0,118,left,ipv205,0,2196.26,1
119,1,60,119,left,ipv205,1,1962.6200000000001,1
120,0,0,120,left,ipv205,0,14152.407000000001,1
121,0,0,121,left,ipv205,0,2167.9539999999997,1
122,1,25,122,left,ipv205,0,1291.924,0
123,0,0,123,left,ipv205,0,1307.327,1
124,1,60,124,left,ipv205,1,2459.326,1
125,0,0,125,left,ipv205,1,1763.597,0
126,1,10,126,left,ipv205,0,1929.2830000000001,0
127,1,15,127,left,ipv205,0,1359.785,0
128,0,0,128,left,ipv205,0,1389.743,1
129,0,0,129,left,ipv205,0,1298.139,1
130,0,0,130,left,ipv205,0,1365.715,1
131,1,25,131,left,ipv205,0,1471.619,0
132,1,60,132,left,ipv205,1,2112.948,1
133,1,25,133,left,ipv205,1,2538.568,1
134,0,0,134,left,ipv205,0,2659.477,1
135,1,60,135,left,ipv205,1,4625.936000000001,1
136,0,0,136,left,ipv205,0,2875.083,1
137,1,10,137,left,ipv205,0,1509.708,0
138,0,0,138,left,ipv205,0,1722.8159999999998,1
139,1,15,139,left,ipv205,0,1349.895,0
140,0,0,140,left,ipv205,0,1988.781,1
141,0,0,141,left,ipv205,0,4572.662,1
142,0,0,142,left,ipv205,0,4229.77,1
143,0,0,143,left,ipv205,0,2210.743,1
144,0,0,144,left,ipv205,0,1519.902,1
145,0,0,145,left,ipv205,0,1448.112,1
146,0,0,146,left,ipv205,0,2451.369,1
147,0,0,147,left,ipv205,0,1313.887,1
148,1,10,148,left,ipv205,0,3987.111,0
149,1,15,149,left,ipv205,0,1624.503,0
150,1,25,150,left,ipv205,1,2523.264,1
151,1,10,151,left,ipv205,0,2801.404,0
152,1,60,152,left,ipv205,1,1958.864,1
153,1,10,153,left,ipv205,0,2320.386,0
154,1,15,154,left,ipv205,0,1398.753,0
155,0,0,155,left,ipv205,0,1275.915,1
156,0,0,156,left,ipv205,0,1244.911,1
157,0,0,157,left,ipv205,0,2152.081,1
158,0,0,158,left,ipv205,0,991.162,1
159,1,25,159,left,ipv205,0,2577.013,0
160,1,15,160,left,ipv205,1,4683.988,1
161,0,0,161,left,ipv205,0,3564.2200000000003,1
162,1,60,162,left,ipv205,1,1723.019,1
163,0,0,163,left,ipv205,0,2172.4260000000004,1
164,1,60,164,left,ipv205,1,2428.739,1
165,0,0,165,left,ipv205,0,3158.338,1
166,1,10,166,left,ipv205,0,1401.207,0
167,0,0,167,left,ipv205,0,1226.164,1
168,0,0,168,left,ipv205,0,1165.772,1
169,1,15,169,left,ipv205,0,1198.817,0
170,0,0,170,left,ipv205,0,2238.333,1
171,0,0,171,left,ipv205,0,1171.312,1
172,0,0,172,left,ipv205,0,3639.337,1
173,0,0,173,left,ipv205,0,2142.31,1
174,1,60,174,left,ipv205,1,2264.6530000000002,1
175,0,0,175,left,ipv205,0,2067.781,1
176,0,0,176,left,ipv205,0,2021.401,1
177,1,15,177,left,ipv205,0,1724.5900000000001,0
178,0,0,178,left,ipv205,0,1185.3020000000001,1
179,1,25,179,left,ipv205,1,2348.1969999999997,1
180,1,25,180,left,ipv205,1,2260.62,1
181,1,15,181,left,ipv205,0,2701.892,0
182,1,10,182,left,ipv205,0,1286.681,0
183,0,0,183,left,ipv205,0,1280.353,1
184,0,0,184,left,ipv205,0,1346.347,1
185,1,15,185,left,ipv205,1,3554.746,1
186,1,10,186,left,ipv205,0,2060.2740000000003,0
