,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,jc8639,1,3024.927,1
1,1,10,1,right,jc8639,0,3268.802,0
2,1,10,2,right,jc8639,0,2046.8609999999999,0
3,1,15,3,right,jc8639,0,2934.962,0
4,0,0,4,right,jc8639,0,8953.623,1
5,1,60,5,right,jc8639,1,1481.33,1
6,0,0,6,right,jc8639,0,2245.167,1
7,1,60,7,right,jc8639,1,1204.248,1
8,1,25,8,right,jc8639,1,1076.7549999999999,1
9,1,15,9,right,jc8639,0,1607.146,0
10,0,0,10,right,jc8639,0,2554.77,1
11,0,0,11,right,jc8639,0,1408.2369999999999,1
12,0,0,12,right,jc8639,0,988.054,1
13,0,0,13,right,jc8639,1,5226.9,0
14,1,15,14,right,jc8639,0,4997.91,0
15,1,10,15,right,jc8639,0,1232.964,0
16,0,0,16,right,jc8639,1,6214.076999999999,0
17,0,0,17,right,jc8639,0,1386.9769999999999,1
18,0,0,18,right,jc8639,0,1862.3600000000001,1
19,0,0,19,right,jc8639,0,1543.677,1
20,1,25,20,right,jc8639,1,1849.666,1
21,0,0,21,right,jc8639,0,3285.3289999999997,1
22,0,0,22,right,jc8639,0,1679.595,1
23,1,60,23,right,jc8639,1,1557.325,1
24,1,60,24,right,jc8639,1,1176.5829999999999,1
25,0,0,25,right,jc8639,0,4829.067,1
26,1,60,26,right,jc8639,1,1221.3020000000001,1
27,1,10,27,right,jc8639,1,2895.63,1
28,1,60,28,right,jc8639,1,1008.9440000000001,1
29,0,0,29,right,jc8639,0,3463.825,1
30,1,15,30,right,jc8639,0,893.327,0
31,1,25,31,right,jc8639,1,1327.5330000000001,1
32,0,0,32,right,jc8639,0,2485.704,1
33,0,0,33,right,jc8639,0,3254.218,1
34,0,0,34,right,jc8639,0,1492.001,1
35,1,60,35,right,jc8639,1,1692.593,1
36,1,25,36,right,jc8639,1,1181.699,1
37,1,25,37,right,jc8639,1,866.198,1
38,0,0,38,right,jc8639,0,1337.4060000000002,1
39,1,10,39,right,jc8639,1,11933.754,1
