,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,jj2401,0,443352.034,0
1,1,10,1,right,jj2401,1,696.874,1
2,1,10,2,right,jj2401,1,686331.441,1
3,1,15,3,right,jj2401,1,1129.0249999999999,1
4,0,0,4,right,jj2401,1,77873.919,0
5,1,60,5,right,jj2401,1,5102.442,1
6,0,0,6,right,jj2401,1,1368.757,0
7,1,60,7,right,jj2401,1,613.644,1
8,1,25,8,right,jj2401,0,17815.79,0
9,1,15,9,right,jj2401,0,827.6329999999999,0
10,0,0,10,right,jj2401,0,986.9440000000001,1
11,0,0,11,right,jj2401,0,867.583,1
12,0,0,12,right,jj2401,0,978.519,1
13,0,0,13,right,jj2401,0,1308.9820000000002,1
14,1,15,14,right,jj2401,1,95253.183,1
15,1,10,15,right,jj2401,1,15512.430999999999,1
16,0,0,16,right,jj2401,1,976.967,0
17,0,0,17,right,jj2401,1,556.532,0
18,0,0,18,right,jj2401,1,449.315,0
19,0,0,19,right,jj2401,1,276.26099999999997,0
20,1,25,20,right,jj2401,1,5.1450000000000005,1
21,0,0,21,right,jj2401,1,4.957,0
22,0,0,22,right,jj2401,1,167.541,0
23,1,60,23,right,jj2401,1,7532.277,1
24,1,60,24,right,jj2401,1,13551.904,1
25,0,0,25,right,jj2401,0,2866.93,1
26,1,60,26,right,jj2401,0,1955.163,0
27,1,10,27,right,jj2401,0,1017.306,0
28,1,60,28,right,jj2401,1,1909.224,1
29,0,0,29,right,jj2401,0,1474.626,1
30,1,15,30,right,jj2401,0,4831.323,0
31,1,25,31,right,jj2401,0,1044.5390000000002,0
32,0,0,32,right,jj2401,0,1094.4769999999999,1
33,0,0,33,right,jj2401,0,993.555,1
34,0,0,34,right,jj2401,0,980.165,1
35,1,60,35,right,jj2401,0,905.257,0
36,1,25,36,right,jj2401,0,1484.5539999999999,0
37,1,25,37,right,jj2401,0,1081.729,0
38,0,0,38,right,jj2401,0,1228.701,1
39,1,10,39,right,jj2401,0,1126.363,0
40,0,0,40,right,jj2401,0,1072.763,1
41,1,25,41,right,jj2401,0,1085.304,0
42,1,25,42,right,jj2401,0,2618.578,0
43,1,60,43,right,jj2401,0,1110.355,0
44,1,10,44,right,jj2401,0,2202.5739999999996,0
45,1,25,45,right,jj2401,0,1010.0329999999999,0
46,1,25,46,right,jj2401,0,1261.335,0
47,0,0,47,right,jj2401,0,1608.313,1
48,0,0,48,right,jj2401,0,2983.324,1
49,0,0,49,right,jj2401,0,1100.181,1
50,1,10,50,right,jj2401,0,2171.228,0
51,1,25,51,right,jj2401,0,982.5509999999999,0
52,0,0,52,right,jj2401,0,957.391,1
53,0,0,53,right,jj2401,0,6379.728,1
54,1,25,54,right,jj2401,0,1689.159,0
55,0,0,55,right,jj2401,0,980.916,1
56,0,0,56,right,jj2401,0,5.041,1
57,0,0,57,right,jj2401,0,823.798,1
58,0,0,58,right,jj2401,0,838.474,1
59,1,25,59,right,jj2401,0,867.466,0
60,1,10,60,right,jj2401,0,4969.396,0
61,1,15,61,right,jj2401,0,1112.7160000000001,0
62,1,15,62,right,jj2401,0,4248.322,0
63,1,15,63,right,jj2401,0,1020.086,0
64,0,0,64,right,jj2401,0,1378.296,1
65,1,10,65,right,jj2401,0,914.077,0
66,0,0,66,right,jj2401,0,915.941,1
67,0,0,67,right,jj2401,0,905.072,1
68,1,60,68,right,jj2401,0,604.56,0
69,0,0,69,right,jj2401,0,1080.416,1
70,1,60,70,right,jj2401,1,2881.915,1
71,0,0,71,right,jj2401,0,1178.542,1
72,0,0,72,right,jj2401,0,1023.269,1
73,0,0,73,right,jj2401,0,998.94,1
74,1,10,74,right,jj2401,0,2164.574,0
75,1,15,75,right,jj2401,0,1052.14,0
76,1,10,76,right,jj2401,0,1681.6819999999998,0
77,0,0,77,right,jj2401,0,1281.55,1
78,0,0,78,right,jj2401,0,952.47,1
79,1,25,79,right,jj2401,0,907.457,0
80,0,0,80,right,jj2401,0,867.801,1
81,1,60,81,right,jj2401,0,940.326,0
82,0,0,82,right,jj2401,0,844.559,1
83,0,0,83,right,jj2401,0,790.242,1
84,0,0,84,right,jj2401,0,790.267,1
85,0,0,85,right,jj2401,0,777.395,1
86,1,15,86,right,jj2401,0,723.585,0
87,1,25,87,right,jj2401,0,745.171,0
88,1,10,88,right,jj2401,0,747.293,0
89,1,60,89,right,jj2401,0,690.6139999999999,0
90,0,0,90,right,jj2401,0,811.763,1
91,0,0,91,right,jj2401,0,1057.081,1
92,0,0,92,right,jj2401,0,981.2769999999999,1
93,1,25,93,right,jj2401,0,886.996,0
94,1,60,94,right,jj2401,1,1667.545,1
95,1,10,95,right,jj2401,0,1170.769,0
96,0,0,96,right,jj2401,0,985.5509999999999,1
97,0,0,97,right,jj2401,0,940.0889999999999,1
98,0,0,98,right,jj2401,0,983.229,1
99,0,0,99,right,jj2401,0,1264.451,1
100,0,0,100,right,jj2401,0,1585.7440000000001,1
101,0,0,101,right,jj2401,0,948.068,1
102,1,25,102,right,jj2401,0,8277.354000000001,0
103,0,0,103,right,jj2401,0,1566.961,1
104,1,10,104,right,jj2401,0,1075.0900000000001,0
105,1,15,105,right,jj2401,0,795.086,0
106,1,15,106,right,jj2401,0,1104.5629999999999,0
107,0,0,107,right,jj2401,0,1399.7189999999998,1
108,1,15,108,right,jj2401,0,4387.103,0
109,0,0,109,right,jj2401,0,813.7760000000001,1
110,0,0,110,right,jj2401,0,1850.0,1
111,1,10,111,right,jj2401,0,1665.44,0
112,0,0,112,right,jj2401,0,1251.4579999999999,1
113,0,0,113,right,jj2401,0,2479.453,1
114,0,0,114,right,jj2401,0,4051.328,1
115,0,0,115,right,jj2401,0,3204.439,1
116,0,0,116,right,jj2401,0,2174.493,1
117,1,25,117,right,jj2401,0,854.4770000000001,0
118,0,0,118,right,jj2401,0,2094.516,1
119,1,60,119,right,jj2401,1,3524.283,1
120,0,0,120,right,jj2401,0,1586.6299999999999,1
121,0,0,121,right,jj2401,0,778.605,1
122,1,25,122,right,jj2401,0,3969.779,0
123,0,0,123,right,jj2401,0,979.78,1
124,1,60,124,right,jj2401,1,2965.208,1
125,0,0,125,right,jj2401,0,1385.8029999999999,1
126,1,10,126,right,jj2401,0,943.579,0
127,1,15,127,right,jj2401,0,984.908,0
128,0,0,128,right,jj2401,0,1098.004,1
129,0,0,129,right,jj2401,0,857.602,1
130,0,0,130,right,jj2401,0,839.7379999999999,1
131,1,25,131,right,jj2401,0,871.597,0
132,1,60,132,right,jj2401,0,3468.603,0
133,1,25,133,right,jj2401,0,970.767,0
134,0,0,134,right,jj2401,0,1059.296,1
135,1,60,135,right,jj2401,0,994.409,0
136,0,0,136,right,jj2401,0,946.179,1
137,1,10,137,right,jj2401,0,1025.471,0
138,0,0,138,right,jj2401,0,1017.9370000000001,1
139,1,15,139,right,jj2401,0,888.5110000000001,0
140,0,0,140,right,jj2401,0,1191.214,1
141,0,0,141,right,jj2401,0,2423.29,1
142,0,0,142,right,jj2401,0,1658.106,1
143,0,0,143,right,jj2401,0,944.395,1
144,0,0,144,right,jj2401,0,1578.05,1
145,0,0,145,right,jj2401,0,901.543,1
146,0,0,146,right,jj2401,0,1325.9399999999998,1
147,0,0,147,right,jj2401,0,903.1139999999999,1
148,1,10,148,right,jj2401,0,639.466,0
149,1,15,149,right,jj2401,0,732.793,0
150,1,25,150,right,jj2401,0,787.658,0
151,1,10,151,right,jj2401,0,2564.6420000000003,0
152,1,60,152,right,jj2401,1,3161.677,1
153,1,10,153,right,jj2401,0,978.977,0
154,1,15,154,right,jj2401,0,810.222,0
155,0,0,155,right,jj2401,0,656.505,1
156,0,0,156,right,jj2401,0,4476.454000000001,1
157,0,0,157,right,jj2401,0,2425.989,1
158,0,0,158,right,jj2401,0,875.602,1
159,1,25,159,right,jj2401,0,914.3299999999999,0
160,1,15,160,right,jj2401,0,902.1940000000001,0
161,0,0,161,right,jj2401,0,684.484,1
162,1,60,162,right,jj2401,0,2082.1130000000003,0
