,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,jwk438,1,6161.556,1
1,1,10,1,left,jwk438,0,11045.035,0
2,1,10,2,left,jwk438,0,1251.478,0
3,1,15,3,left,jwk438,0,1414.315,0
4,0,0,4,left,jwk438,0,1751.299,1
5,1,60,5,left,jwk438,1,1758.723,1
6,0,0,6,left,jwk438,0,1215.782,1
7,1,60,7,left,jwk438,1,1193.388,1
8,1,25,8,left,jwk438,1,1018.02,1
9,1,15,9,left,jwk438,0,5579.182000000001,0
10,0,0,10,left,jwk438,0,1044.7,1
11,0,0,11,left,jwk438,0,1613.522,1
12,0,0,12,left,jwk438,0,900.855,1
13,0,0,13,left,jwk438,0,751.829,1
14,1,15,14,left,jwk438,0,793.708,0
15,1,10,15,left,jwk438,0,2640.2450000000003,0
16,0,0,16,left,jwk438,0,1737.903,1
17,0,0,17,left,jwk438,0,1003.0269999999999,1
18,0,0,18,left,jwk438,0,985.694,1
19,0,0,19,left,jwk438,0,862.7099999999999,1
20,1,25,20,left,jwk438,0,917.083,0
21,0,0,21,left,jwk438,1,2083.862,0
22,0,0,22,left,jwk438,0,1215.24,1
23,1,60,23,left,jwk438,1,1152.8719999999998,1
24,1,60,24,left,jwk438,1,1066.1309999999999,1
25,0,0,25,left,jwk438,0,1571.981,1
26,1,60,26,left,jwk438,1,1666.366,1
27,1,10,27,left,jwk438,0,2402.489,0
28,1,60,28,left,jwk438,1,1147.225,1
29,0,0,29,left,jwk438,0,2037.263,1
30,1,15,30,left,jwk438,0,1081.633,0
31,1,25,31,left,jwk438,1,1658.703,1
32,0,0,32,left,jwk438,0,2903.736,1
33,0,0,33,left,jwk438,0,2377.02,1
34,0,0,34,left,jwk438,0,1755.828,1
35,1,60,35,left,jwk438,1,1317.051,1
36,1,25,36,left,jwk438,1,1941.244,1
37,1,25,37,left,jwk438,1,1855.2630000000001,1
38,0,0,38,left,jwk438,0,2232.2639999999997,1
39,1,10,39,left,jwk438,0,1702.2949999999998,0
40,0,0,40,left,jwk438,0,1731.723,1
