,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,kyy230,1,4610.793000000001,1
1,1,10,1,left,kyy230,1,8519.475999999999,1
2,1,10,2,left,kyy230,0,2481.833,0
3,1,15,3,left,kyy230,0,3049.081,0
4,0,0,4,left,kyy230,0,4239.089,1
5,1,60,5,left,kyy230,1,3288.059,1
6,0,0,6,left,kyy230,0,2628.7189999999996,1
7,1,60,7,left,kyy230,1,1907.087,1
8,1,25,8,left,kyy230,1,1450.5030000000002,1
9,1,15,9,left,kyy230,0,3839.995,0
10,0,0,10,left,kyy230,0,2618.924,1
11,0,0,11,left,kyy230,0,2920.743,1
12,0,0,12,left,kyy230,0,2287.376,1
13,0,0,13,left,kyy230,0,2124.993,1
14,1,15,14,left,kyy230,1,3168.186,1
15,1,10,15,left,kyy230,0,1562.5849999999998,0
16,0,0,16,left,kyy230,0,2119.191,1
17,0,0,17,left,kyy230,0,1514.089,1
18,0,0,18,left,kyy230,0,2361.1349999999998,1
19,0,0,19,left,kyy230,0,2523.475,1
20,1,25,20,left,kyy230,0,1584.0149999999999,0
21,0,0,21,left,kyy230,0,3210.585,1
22,0,0,22,left,kyy230,0,2595.758,1
23,1,60,23,left,kyy230,1,1857.376,1
24,1,60,24,left,kyy230,1,1301.39,1
25,0,0,25,left,kyy230,0,1759.1380000000001,1
26,1,60,26,left,kyy230,1,1573.55,1
27,1,10,27,left,kyy230,1,2668.2619999999997,1
28,1,60,28,left,kyy230,1,1563.286,1
29,0,0,29,left,kyy230,0,1809.137,1
30,1,15,30,left,kyy230,1,2287.053,1
31,1,25,31,left,kyy230,1,1989.244,1
32,0,0,32,left,kyy230,0,1601.942,1
33,0,0,33,left,kyy230,0,1452.167,1
34,0,0,34,left,kyy230,0,1689.355,1
35,1,60,35,left,kyy230,1,1553.264,1
36,1,25,36,left,kyy230,1,1390.932,1
37,1,25,37,left,kyy230,1,1250.998,1
38,0,0,38,left,kyy230,0,1692.086,1
39,1,10,39,left,kyy230,0,1893.973,0
40,0,0,40,left,kyy230,0,7082.6050000000005,1
41,1,25,41,left,kyy230,0,3238.866,0
42,1,25,42,left,kyy230,1,2772.8920000000003,1
43,1,60,43,left,kyy230,1,1768.707,1
44,1,10,44,left,kyy230,0,2228.763,0
45,1,25,45,left,kyy230,1,4083.6389999999997,1
46,1,25,46,left,kyy230,1,2043.2350000000001,1
47,0,0,47,left,kyy230,0,2135.58,1
48,0,0,48,left,kyy230,0,1583.596,1
49,0,0,49,left,kyy230,0,2772.257,1
50,1,10,50,left,kyy230,0,7076.5599999999995,0
51,1,25,51,left,kyy230,0,2361.753,0
52,0,0,52,left,kyy230,0,1951.327,1
53,0,0,53,left,kyy230,0,1123.664,1
54,1,25,54,left,kyy230,1,2192.757,1
55,0,0,55,left,kyy230,0,1769.1809999999998,1
56,0,0,56,left,kyy230,0,1242.51,1
57,0,0,57,left,kyy230,0,1181.5549999999998,1
58,0,0,58,left,kyy230,0,1956.1889999999999,1
59,1,25,59,left,kyy230,0,1268.981,0
60,1,10,60,left,kyy230,0,2790.3349999999996,0
61,1,15,61,left,kyy230,0,2109.588,0
62,1,15,62,left,kyy230,0,1630.5,0
63,1,15,63,left,kyy230,0,1659.821,0
64,0,0,64,left,kyy230,0,1974.629,1
65,1,10,65,left,kyy230,0,1572.0,0
66,0,0,66,left,kyy230,0,1381.7839999999999,1
67,0,0,67,left,kyy230,0,1378.1680000000001,1
68,1,60,68,left,kyy230,1,1824.83,1
69,0,0,69,left,kyy230,0,2926.132,1
70,1,60,70,left,kyy230,1,4166.148,1
71,0,0,71,left,kyy230,0,2531.5789999999997,1
72,0,0,72,left,kyy230,0,3708.708,1
73,0,0,73,left,kyy230,0,1473.665,1
74,1,10,74,left,kyy230,0,2554.366,0
75,1,15,75,left,kyy230,1,6560.5779999999995,1
76,1,10,76,left,kyy230,0,2904.9629999999997,0
77,0,0,77,left,kyy230,0,1772.76,1
78,0,0,78,left,kyy230,0,2228.71,1
79,1,25,79,left,kyy230,1,2930.6679999999997,1
80,0,0,80,left,kyy230,1,4753.423,0
81,1,60,81,left,kyy230,0,2292.624,0
82,0,0,82,left,kyy230,0,3185.7129999999997,1
83,0,0,83,left,kyy230,0,2584.607,1
84,0,0,84,left,kyy230,0,4279.246999999999,1
85,0,0,85,left,kyy230,0,1858.678,1
86,1,15,86,left,kyy230,0,1441.281,0
87,1,25,87,left,kyy230,0,2933.134,0
88,1,10,88,left,kyy230,0,5422.264,0
89,1,60,89,left,kyy230,1,2895.661,1
90,0,0,90,left,kyy230,0,2112.8230000000003,1
91,0,0,91,left,kyy230,0,2061.3610000000003,1
92,0,0,92,left,kyy230,0,2891.516,1
93,1,25,93,left,kyy230,1,4468.095,1
94,1,60,94,left,kyy230,1,2432.095,1
95,1,10,95,left,kyy230,0,2673.189,0
96,0,0,96,left,kyy230,0,2229.425,1
97,0,0,97,left,kyy230,0,1865.591,1
98,0,0,98,left,kyy230,0,1314.9759999999999,1
99,0,0,99,left,kyy230,0,2030.684,1
100,0,0,100,left,kyy230,0,1287.935,1
101,0,0,101,left,kyy230,0,1193.248,1
102,1,25,102,left,kyy230,0,1716.118,0
103,0,0,103,left,kyy230,0,1958.5330000000001,1
104,1,10,104,left,kyy230,0,1681.052,0
105,1,15,105,left,kyy230,0,13800.136,0
106,1,15,106,left,kyy230,0,2501.379,0
107,0,0,107,left,kyy230,0,1658.5939999999998,1
108,1,15,108,left,kyy230,0,2094.732,0
109,0,0,109,left,kyy230,0,2016.4070000000002,1
110,0,0,110,left,kyy230,0,1442.218,1
111,1,10,111,left,kyy230,0,1506.379,0
112,0,0,112,left,kyy230,0,4257.799999999999,1
113,0,0,113,left,kyy230,0,1837.127,1
114,0,0,114,left,kyy230,0,1632.663,1
115,0,0,115,left,kyy230,0,2522.5,1
116,0,0,116,left,kyy230,0,1901.296,1
117,1,25,117,left,kyy230,0,1417.014,0
118,0,0,118,left,kyy230,0,2462.485,1
119,1,60,119,left,kyy230,1,2211.744,1
120,0,0,120,left,kyy230,0,2857.6220000000003,1
121,0,0,121,left,kyy230,0,1653.5089999999998,1
122,1,25,122,left,kyy230,1,2152.578,1
123,0,0,123,left,kyy230,0,2264.501,1
124,1,60,124,left,kyy230,1,1862.672,1
125,0,0,125,left,kyy230,0,2991.683,1
126,1,10,126,left,kyy230,0,1118.309,0
127,1,15,127,left,kyy230,0,3350.21,0
128,0,0,128,left,kyy230,0,1163.566,1
129,0,0,129,left,kyy230,0,3598.155,1
130,0,0,130,left,kyy230,0,1932.311,1
131,1,25,131,left,kyy230,0,1896.76,0
132,1,60,132,left,kyy230,1,417.093,1
133,1,25,133,left,kyy230,1,3402.188,1
134,0,0,134,left,kyy230,0,11944.606,1
135,1,60,135,left,kyy230,0,3000.288,0
136,0,0,136,left,kyy230,0,2112.209,1
137,1,10,137,left,kyy230,0,1772.8680000000002,0
138,0,0,138,left,kyy230,0,1551.4460000000001,1
139,1,15,139,left,kyy230,0,3697.129,0
140,0,0,140,left,kyy230,0,1695.319,1
141,0,0,141,left,kyy230,0,21552.843,1
142,0,0,142,left,kyy230,0,2277.615,1
143,0,0,143,left,kyy230,0,2334.01,1
144,0,0,144,left,kyy230,0,4367.266,1
145,0,0,145,left,kyy230,1,2500.311,0
146,0,0,146,left,kyy230,1,254381.59300000002,0
147,0,0,147,left,kyy230,0,1600.1000000000001,1
148,1,10,148,left,kyy230,0,1991.858,0
149,1,15,149,left,kyy230,1,3688.634,1
150,1,25,150,left,kyy230,1,2405.434,1
151,1,10,151,left,kyy230,0,2863.861,0
152,1,60,152,left,kyy230,1,1546.103,1
153,1,10,153,left,kyy230,0,1250.472,0
154,1,15,154,left,kyy230,0,1429.4009999999998,0
155,0,0,155,left,kyy230,0,1260.012,1
156,0,0,156,left,kyy230,0,1103.629,1
157,0,0,157,left,kyy230,0,1082.8,1
158,0,0,158,left,kyy230,0,999.02,1
159,1,25,159,left,kyy230,1,2995.5660000000003,1
160,1,15,160,left,kyy230,0,3290.096,0
161,0,0,161,left,kyy230,0,2115.9590000000003,1
162,1,60,162,left,kyy230,0,2757.6,0
163,0,0,163,left,kyy230,1,888.473,0
164,1,60,164,left,kyy230,1,2634.69,1
165,0,0,165,left,kyy230,0,2016.2079999999999,1
166,1,10,166,left,kyy230,0,2109.054,0
