,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,mae475,1,7197.639,1
1,1,10,1,left,mae475,0,2687.536,0
2,1,10,2,left,mae475,0,2645.866,0
3,1,15,3,left,mae475,0,2609.6910000000003,0
4,0,0,4,left,mae475,0,1248.048,1
5,1,60,5,left,mae475,1,2368.0,1
6,0,0,6,left,mae475,0,1760.739,1
7,1,60,7,left,mae475,1,1511.7179999999998,1
8,1,25,8,left,mae475,1,1661.7150000000001,1
9,1,15,9,left,mae475,0,1933.952,0
10,0,0,10,left,mae475,0,1430.298,1
11,0,0,11,left,mae475,0,1726.878,1
12,0,0,12,left,mae475,0,1219.253,1
13,0,0,13,left,mae475,0,1558.163,1
14,1,15,14,left,mae475,0,1814.557,0
15,1,10,15,left,mae475,0,1885.0359999999998,0
16,0,0,16,left,mae475,0,1528.1789999999999,1
17,0,0,17,left,mae475,0,1702.458,1
18,0,0,18,left,mae475,0,2151.941,1
19,0,0,19,left,mae475,0,1535.135,1
20,1,25,20,left,mae475,0,2244.4120000000003,0
21,0,0,21,left,mae475,0,3065.132,1
22,0,0,22,left,mae475,0,1394.658,1
23,1,60,23,left,mae475,1,1845.47,1
24,1,60,24,left,mae475,1,989.4490000000001,1
25,0,0,25,left,mae475,0,1849.6589999999999,1
26,1,60,26,left,mae475,1,1786.602,1
27,1,10,27,left,mae475,0,1885.37,0
28,1,60,28,left,mae475,1,1687.529,1
29,0,0,29,left,mae475,0,2047.567,1
30,1,15,30,left,mae475,0,1627.924,0
31,1,25,31,left,mae475,0,1765.296,0
32,0,0,32,left,mae475,0,1977.134,1
33,0,0,33,left,mae475,0,1171.16,1
34,0,0,34,left,mae475,0,1886.2810000000002,1
35,1,60,35,left,mae475,1,1600.72,1
36,1,25,36,left,mae475,1,2629.2960000000003,1
37,1,25,37,left,mae475,1,919.5759999999999,1
38,0,0,38,left,mae475,0,1841.906,1
39,1,10,39,left,mae475,0,4448.764,0
40,0,0,40,left,mae475,0,2523.0640000000003,1
41,1,25,41,left,mae475,1,5638.587,1
42,1,25,42,left,mae475,0,2748.585,0
43,1,60,43,left,mae475,1,1771.646,1
44,1,10,44,left,mae475,0,1504.745,0
45,1,25,45,left,mae475,0,1609.792,0
46,1,25,46,left,mae475,0,4100.95,0
47,0,0,47,left,mae475,0,1043.987,1
48,0,0,48,left,mae475,0,1120.126,1
49,0,0,49,left,mae475,0,889.1419999999999,1
50,1,10,50,left,mae475,0,1003.4430000000001,0
51,1,25,51,left,mae475,0,992.659,0
52,0,0,52,left,mae475,0,1544.343,1
53,0,0,53,left,mae475,0,1266.672,1
54,1,25,54,left,mae475,1,2965.2419999999997,1
55,0,0,55,left,mae475,0,1980.863,1
56,0,0,56,left,mae475,0,2366.672,1
57,0,0,57,left,mae475,0,1188.2740000000001,1
58,0,0,58,left,mae475,0,882.874,1
59,1,25,59,left,mae475,0,1356.607,0
60,1,10,60,left,mae475,0,1112.214,0
61,1,15,61,left,mae475,0,1066.528,0
62,1,15,62,left,mae475,0,934.213,0
63,1,15,63,left,mae475,0,931.7990000000001,0
64,0,0,64,left,mae475,0,811.206,1
65,1,10,65,left,mae475,0,752.471,0
66,0,0,66,left,mae475,0,924.063,1
67,0,0,67,left,mae475,0,1101.912,1
68,1,60,68,left,mae475,1,1853.273,1
69,0,0,69,left,mae475,0,1079.428,1
70,1,60,70,left,mae475,1,1788.117,1
71,0,0,71,left,mae475,0,1354.979,1
72,0,0,72,left,mae475,0,515.484,1
73,0,0,73,left,mae475,0,723.6700000000001,1
74,1,10,74,left,mae475,0,1053.532,0
75,1,15,75,left,mae475,0,812.787,0
76,1,10,76,left,mae475,0,1042.295,0
77,0,0,77,left,mae475,0,874.691,1
78,0,0,78,left,mae475,0,941.4639999999999,1
79,1,25,79,left,mae475,1,2419.19,1
80,0,0,80,left,mae475,0,1537.1779999999999,1
81,1,60,81,left,mae475,1,1652.838,1
82,0,0,82,left,mae475,0,1841.038,1
83,0,0,83,left,mae475,0,785.794,1
84,0,0,84,left,mae475,0,730.971,1
85,0,0,85,left,mae475,0,637.923,1
86,1,15,86,left,mae475,0,899.904,0
87,1,25,87,left,mae475,0,788.6800000000001,0
88,1,10,88,left,mae475,0,937.584,0
89,1,60,89,left,mae475,0,802.808,0
90,0,0,90,left,mae475,0,610.361,1
91,0,0,91,left,mae475,0,733.228,1
92,0,0,92,left,mae475,0,771.473,1
93,1,25,93,left,mae475,0,2102.2059999999997,0
94,1,60,94,left,mae475,1,2638.405,1
95,1,10,95,left,mae475,0,1057.477,0
96,0,0,96,left,mae475,0,831.0300000000001,1
97,0,0,97,left,mae475,0,710.59,1
98,0,0,98,left,mae475,0,846.877,1
99,0,0,99,left,mae475,0,694.622,1
100,0,0,100,left,mae475,0,1179.8120000000001,1
101,0,0,101,left,mae475,0,912.04,1
102,1,25,102,left,mae475,0,807.0619999999999,0
103,0,0,103,left,mae475,0,1100.2810000000002,1
104,1,10,104,left,mae475,0,923.258,0
105,1,15,105,left,mae475,0,677.472,0
106,1,15,106,left,mae475,0,720.715,0
107,0,0,107,left,mae475,0,714.616,1
108,1,15,108,left,mae475,0,713.939,0
109,0,0,109,left,mae475,0,1200.161,1
110,0,0,110,left,mae475,0,1999.873,1
111,1,10,111,left,mae475,0,2427.2239999999997,0
112,0,0,112,left,mae475,0,1049.83,1
113,0,0,113,left,mae475,0,901.325,1
114,0,0,114,left,mae475,0,917.136,1
115,0,0,115,left,mae475,0,1061.315,1
116,0,0,116,left,mae475,0,984.028,1
117,1,25,117,left,mae475,0,1938.8129999999999,0
118,0,0,118,left,mae475,0,1229.4689999999998,1
119,1,60,119,left,mae475,1,3920.523,1
120,0,0,120,left,mae475,0,1170.66,1
121,0,0,121,left,mae475,0,985.9689999999999,1
122,1,25,122,left,mae475,0,1037.576,0
123,0,0,123,left,mae475,0,828.945,1
124,1,60,124,left,mae475,0,733.66,0
125,0,0,125,left,mae475,0,1486.482,1
126,1,10,126,left,mae475,0,1133.836,0
127,1,15,127,left,mae475,0,1005.607,0
128,0,0,128,left,mae475,0,1015.9990000000001,1
129,0,0,129,left,mae475,0,1222.513,1
130,0,0,130,left,mae475,0,1200.4379999999999,1
131,1,25,131,left,mae475,0,1591.102,0
132,1,60,132,left,mae475,1,1901.932,1
133,1,25,133,left,mae475,0,1216.446,0
134,0,0,134,left,mae475,0,1411.9250000000002,1
135,1,60,135,left,mae475,0,3034.766,0
136,0,0,136,left,mae475,0,1228.644,1
137,1,10,137,left,mae475,0,934.917,0
138,0,0,138,left,mae475,0,1102.2430000000002,1
139,1,15,139,left,mae475,0,895.841,0
140,0,0,140,left,mae475,0,785.529,1
141,0,0,141,left,mae475,0,1227.066,1
142,0,0,142,left,mae475,0,1053.895,1
143,0,0,143,left,mae475,0,772.428,1
144,0,0,144,left,mae475,0,790.4499999999999,1
145,0,0,145,left,mae475,0,673.4010000000001,1
146,0,0,146,left,mae475,0,861.328,1
147,0,0,147,left,mae475,0,762.6469999999999,1
148,1,10,148,left,mae475,0,749.206,0
149,1,15,149,left,mae475,0,712.918,0
150,1,25,150,left,mae475,0,1415.772,0
151,1,10,151,left,mae475,0,1124.7990000000002,0
152,1,60,152,left,mae475,1,2200.136,1
153,1,10,153,left,mae475,0,2844.591,0
154,1,15,154,left,mae475,0,1723.927,0
155,0,0,155,left,mae475,0,772.8230000000001,1
156,0,0,156,left,mae475,0,745.101,1
157,0,0,157,left,mae475,0,880.46,1
158,0,0,158,left,mae475,0,661.485,1
159,1,25,159,left,mae475,0,592.679,0
160,1,15,160,left,mae475,0,652.909,0
161,0,0,161,left,mae475,0,753.3100000000001,1
162,1,60,162,left,mae475,0,706.553,0
163,0,0,163,left,mae475,0,2471.292,1
