,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,peo225,1,3180.663,1
1,1,10,1,right,peo225,1,6117.956,1
2,1,10,2,right,peo225,0,2654.883,0
3,1,15,3,right,peo225,1,5287.165,1
4,0,0,4,right,peo225,0,4277.534000000000,1
5,1,60,5,right,peo225,1,6059.5160000000000,1
6,0,0,6,right,peo225,1,6286.817,0
7,1,60,7,right,peo225,1,1532.213,1
8,1,25,8,right,peo225,1,1523.3790000000000,1
9,1,15,9,right,peo225,0,2370.4230000000000,0
10,0,0,10,right,peo225,0,3390.113,1
11,0,0,11,right,peo225,0,2999.896,1
12,0,0,12,right,peo225,0,1996.0360000000000,1
13,0,0,13,right,peo225,1,2522.375,0
14,1,15,14,right,peo225,0,2602.733,0
15,1,10,15,right,peo225,1,3359.159,1
16,0,0,16,right,peo225,1,3613.096,0
17,0,0,17,right,peo225,0,2244.267,1
18,0,0,18,right,peo225,0,2115.3900000000000,1
19,0,0,19,right,peo225,0,1775.902,1
20,1,25,20,right,peo225,0,2721.453,0
21,0,0,21,right,peo225,1,2380.271,0
22,0,0,22,right,peo225,0,2762.241,1
23,1,60,23,right,peo225,1,1743.786,1
24,1,60,24,right,peo225,1,1302.713,1
25,0,0,25,right,peo225,0,3794.889,1
26,1,60,26,right,peo225,1,1528.1230000000000,1
27,1,10,27,right,peo225,1,3224.447,1
28,1,60,28,right,peo225,1,1195.838,1
29,0,0,29,right,peo225,0,2523.7780000000000,1
30,1,15,30,right,peo225,1,5138.781,1
31,1,25,31,right,peo225,1,2281.478,1
32,0,0,32,right,peo225,0,2506.1200000000000,1
33,0,0,33,right,peo225,0,2627.4810000000000,1
34,0,0,34,right,peo225,0,4642.728,1
35,1,60,35,right,peo225,1,1727.3720000000000,1
36,1,25,36,right,peo225,1,1075.901,1
37,1,25,37,right,peo225,1,1156.444,1
38,0,0,38,right,peo225,0,1622.453,1
39,1,10,39,right,peo225,1,2385.8960000000000,1
40,0,0,40,right,peo225,0,3629.2200000000000,1
41,1,25,41,right,peo225,0,8912.785,0
42,1,25,42,right,peo225,1,2022.5370000000000,1
43,1,60,43,right,peo225,1,1434.7260000000000,1
44,1,10,44,right,peo225,1,5550.792,1
45,1,25,45,right,peo225,1,3289.2610000000000,1
46,1,25,46,right,peo225,0,3763.419,0
47,0,0,47,right,peo225,0,1526.305,1
48,0,0,48,right,peo225,0,1505.0270000000000,1
49,0,0,49,right,peo225,1,2660.9590000000000,0
50,1,10,50,right,peo225,0,3126.6150000000000,0
51,1,25,51,right,peo225,0,3967.8400000000000,0
52,0,0,52,right,peo225,0,3685.062,1
53,0,0,53,right,peo225,1,4443.505,0
54,1,25,54,right,peo225,1,1700.221,1
55,0,0,55,right,peo225,1,12476.222,0
