,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,qc540,1,20182.948,1
1,1,10,1,right,qc540,0,2797.454,0
2,1,10,2,right,qc540,0,2865.3529999999996,0
3,1,15,3,right,qc540,0,2025.889,0
4,0,0,4,right,qc540,0,2906.2450000000003,1
5,1,60,5,right,qc540,1,2564.55,1
6,0,0,6,right,qc540,0,5269.562,1
7,1,60,7,right,qc540,1,2150.166,1
8,1,25,8,right,qc540,1,1692.934,1
9,1,15,9,right,qc540,1,3721.875,1
10,0,0,10,right,qc540,0,5729.818,1
11,0,0,11,right,qc540,0,4369.169,1
12,0,0,12,right,qc540,0,2640.997,1
13,0,0,13,right,qc540,0,3851.4089999999997,1
14,1,15,14,right,qc540,0,11464.593,0
15,1,10,15,right,qc540,0,6370.94,0
16,0,0,16,right,qc540,0,11134.710000000001,1
17,0,0,17,right,qc540,0,8683.985,1
18,0,0,18,right,qc540,0,12489.839999999998,1
19,0,0,19,right,qc540,0,19236.602000000003,1
20,1,25,20,right,qc540,1,17224.479,1
21,0,0,21,right,qc540,1,4645.789,0
22,0,0,22,right,qc540,0,3324.6639999999998,1
23,1,60,23,right,qc540,1,2236.2470000000003,1
24,1,60,24,right,qc540,1,1370.837,1
25,0,0,25,right,qc540,0,2041.3239999999998,1
26,1,60,26,right,qc540,1,2051.476,1
27,1,10,27,right,qc540,0,2751.979,0
28,1,60,28,right,qc540,1,2030.034,1
29,0,0,29,right,qc540,0,6786.841,1
30,1,15,30,right,qc540,0,3411.4399999999996,0
31,1,25,31,right,qc540,1,2714.995,1
32,0,0,32,right,qc540,0,4476.672,1
33,0,0,33,right,qc540,0,4850.565,1
34,0,0,34,right,qc540,0,5532.542,1
35,1,60,35,right,qc540,1,2094.5429999999997,1
36,1,25,36,right,qc540,1,2626.004,1
37,1,25,37,right,qc540,1,1958.8680000000002,1
38,0,0,38,right,qc540,0,2429.303,1
39,1,10,39,right,qc540,0,3526.647,0
40,0,0,40,right,qc540,0,5222.045999999999,1
41,1,25,41,right,qc540,1,2381.4809999999998,1
42,1,25,42,right,qc540,1,5099.578,1
43,1,60,43,right,qc540,1,2048.791,1
44,1,10,44,right,qc540,0,2197.117,0
45,1,25,45,right,qc540,0,4011.159,0
46,1,25,46,right,qc540,1,2229.972,1
47,0,0,47,right,qc540,0,4713.6449999999995,1
48,0,0,48,right,qc540,0,3032.227,1
49,0,0,49,right,qc540,0,3351.245,1
50,1,10,50,right,qc540,0,2392.0029999999997,0
51,1,25,51,right,qc540,0,6542.1810000000005,0
52,0,0,52,right,qc540,0,3126.613,1
53,0,0,53,right,qc540,0,5966.446999999999,1
54,1,25,54,right,qc540,1,2533.1389999999997,1
55,0,0,55,right,qc540,0,3505.7619999999997,1
56,0,0,56,right,qc540,0,6514.687999999999,1
57,0,0,57,right,qc540,0,2272.951,1
58,0,0,58,right,qc540,0,4407.017,1
59,1,25,59,right,qc540,0,2303.4970000000003,0
60,1,10,60,right,qc540,0,2328.568,0
61,1,15,61,right,qc540,0,2152.38,0
62,1,15,62,right,qc540,0,3717.896,0
63,1,15,63,right,qc540,0,9512.470000000001,0
64,0,0,64,right,qc540,0,4394.237,1
65,1,10,65,right,qc540,0,3522.401,0
66,0,0,66,right,qc540,0,3547.659,1
67,0,0,67,right,qc540,0,2540.0209999999997,1
68,1,60,68,right,qc540,1,2394.529,1
69,0,0,69,right,qc540,0,2546.7360000000003,1
70,1,60,70,right,qc540,1,1905.733,1
71,0,0,71,right,qc540,0,2724.4739999999997,1
72,0,0,72,right,qc540,0,3429.315,1
73,0,0,73,right,qc540,0,3522.22,1
74,1,10,74,right,qc540,0,3218.238,0
75,1,15,75,right,qc540,1,3497.777,1
76,1,10,76,right,qc540,0,2169.5280000000002,0
77,0,0,77,right,qc540,0,2105.221,1
78,0,0,78,right,qc540,0,3910.152,1
79,1,25,79,right,qc540,1,3108.947,1
80,0,0,80,right,qc540,0,6865.481,1
81,1,60,81,right,qc540,1,2298.498,1
82,0,0,82,right,qc540,0,3957.19,1
83,0,0,83,right,qc540,0,4494.196,1
84,0,0,84,right,qc540,0,5332.734,1
85,0,0,85,right,qc540,0,11641.202,1
86,1,15,86,right,qc540,0,3618.583,0
87,1,25,87,right,qc540,0,2260.7560000000003,0
88,1,10,88,right,qc540,0,3172.1780000000003,0
89,1,60,89,right,qc540,1,2328.793,1
90,0,0,90,right,qc540,0,4025.015,1
91,0,0,91,right,qc540,1,8004.08,0
92,0,0,92,right,qc540,0,2423.154,1
93,1,25,93,right,qc540,1,2620.1189999999997,1
94,1,60,94,right,qc540,1,2066.2219999999998,1
95,1,10,95,right,qc540,0,3407.371,0
96,0,0,96,right,qc540,0,2566.401,1
97,0,0,97,right,qc540,0,2943.686,1
98,0,0,98,right,qc540,0,2716.747,1
99,0,0,99,right,qc540,0,6115.405,1
100,0,0,100,right,qc540,0,11253.151000000002,1
101,0,0,101,right,qc540,0,6963.092,1
102,1,25,102,right,qc540,1,12208.325,1
103,0,0,103,right,qc540,0,2354.962,1
104,1,10,104,right,qc540,0,2450.7889999999998,0
105,1,15,105,right,qc540,0,3909.458,0
106,1,15,106,right,qc540,0,2243.393,0
107,0,0,107,right,qc540,0,2451.9359999999997,1
108,1,15,108,right,qc540,0,2247.183,0
109,0,0,109,right,qc540,0,3558.7529999999997,1
110,0,0,110,right,qc540,0,7992.811,1
111,1,10,111,right,qc540,0,15224.477,0
112,0,0,112,right,qc540,0,2607.007,1
113,0,0,113,right,qc540,1,6783.772,0
114,0,0,114,right,qc540,0,4470.265,1
115,0,0,115,right,qc540,0,4464.344999999999,1
