,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,so1304,1,3279.571,1
1,1,10,1,right,so1304,0,1193.09,0
2,1,10,2,right,so1304,0,538.496,0
3,1,15,3,right,so1304,0,485.31800000000004,0
4,0,0,4,right,so1304,1,427.979,0
5,1,60,5,right,so1304,1,442.112,1
6,0,0,6,right,so1304,1,529.457,0
7,1,60,7,right,so1304,1,91153.764,1
8,1,25,8,right,so1304,0,1409.9550000000002,0
9,1,15,9,right,so1304,1,420.17,1
10,0,0,10,right,so1304,0,597.238,1
11,0,0,11,right,so1304,1,450.857,0
12,0,0,12,right,so1304,1,3298.56,0
13,0,0,13,right,so1304,1,115.52900000000001,0
14,1,15,14,right,so1304,1,435.98900000000003,1
15,1,10,15,right,so1304,1,443.579,1
16,0,0,16,right,so1304,1,570.4240000000001,0
17,0,0,17,right,so1304,0,596.526,1
18,0,0,18,right,so1304,0,246.272,1
19,0,0,19,right,so1304,0,308.516,1
20,1,25,20,right,so1304,0,5.3790000000000004,0
21,0,0,21,right,so1304,0,6.468,1
22,0,0,22,right,so1304,0,4.986,1
23,1,60,23,right,so1304,0,4.8069999999999995,0
24,1,60,24,right,so1304,0,5.254,0
25,0,0,25,right,so1304,1,6.385,0
26,1,60,26,right,so1304,1,6.453,1
27,1,10,27,right,so1304,1,6.275,1
28,1,60,28,right,tg3so5,1,18.21,1
29,0,0,29,right,so1304,1,5.036,0
30,1,15,30,right,so1304,1,6.109,1
31,1,25,31,right,so1304,1,6.018,1
32,0,0,32,right,so1304,1,6.093,0
33,0,0,33,right,so1304,0,5.6160000000000005,1
34,0,0,34,right,so1304,0,5.841,1
35,1,60,35,right,so1304,0,6.286,0
36,1,25,36,right,so1304,0,5.444,0
37,1,25,37,right,so1304,0,6.979,0
38,0,0,38,right,so1304,1,833.509,0
39,1,10,39,right,so1304,1,10.511,1
40,0,0,40,right,so1304,1,5.255,0
41,1,25,41,right,so1304,1,6.418,1
42,1,25,42,right,so1304,1,5.832999999999999,1
43,1,60,43,right,so1304,0,578.529,0
44,1,10,44,right,so1304,0,8.632000000000001,0
45,1,25,45,right,so1304,0,244.975,0
46,1,25,46,right,so1304,0,26.773000000000003,0
47,0,0,47,right,so1304,0,252.7,1
48,0,0,48,right,so1304,1,5.9639999999999995,0
49,0,0,49,right,so1304,1,142.695,0
50,1,10,50,right,so1304,1,220.42999999999998,1
51,1,25,51,right,so1304,1,62.711000000000006,1
52,0,0,52,right,so1304,0,219.223,1
53,0,0,53,right,so1304,0,4.857,1
54,1,25,54,right,so1304,1,917.629,1
55,0,0,55,right,so1304,1,17351.805,0
56,0,0,56,right,so1304,1,5.664,0
57,0,0,57,right,so1304,1,302.207,0
58,0,0,58,right,so1304,0,244.9,1
59,1,25,59,right,so1304,0,20.616,0
60,1,10,60,right,so1304,0,275.961,0
61,1,15,61,right,so1304,0,5.348000000000001,0
62,1,15,62,right,so1304,0,74.336,0
63,1,15,63,right,so1304,0,216.267,0
64,0,0,64,right,so1304,0,257.233,1
65,1,10,65,right,so1304,0,5.271,0
66,0,0,66,right,so1304,0,13.637,1
67,0,0,67,right,so1304,0,6.63,1
68,1,60,68,right,so1304,1,70.464,1
69,0,0,69,right,so1304,1,5.136,0
70,1,60,70,right,so1304,1,5.2170000000000005,1
71,0,0,71,right,so1304,1,4.887,0
72,0,0,72,right,so1304,1,5.195,0
73,0,0,73,right,so1304,0,324.972,1
74,1,10,74,right,so1304,1,85.26100000000001,1
75,1,15,75,right,so1304,1,12.893999999999998,1
76,1,10,76,right,so1304,1,6.513,1
77,0,0,77,right,so1304,1,9.107000000000001,0
78,0,0,78,right,so1304,1,14.185,0
79,1,25,79,right,so1304,0,23.186,0
80,0,0,80,right,so1304,1,5.348000000000001,0
81,1,60,81,right,so1304,1,6.118,1
82,0,0,82,right,so1304,0,5.522,1
83,0,0,83,right,so1304,1,5.889,0
84,0,0,84,right,so1304,1,5.8549999999999995,0
85,0,0,85,right,so1304,1,5.225,0
86,1,15,86,right,so1304,1,5.224,1
87,1,25,87,right,so1304,1,5.476,1
88,1,10,88,right,so1304,1,4.930000000000001,1
89,1,60,89,right,so1304,1,5.288,1
90,0,0,90,right,so1304,0,8.045,1
91,0,0,91,right,so1304,1,4.8950000000000005,0
92,0,0,92,right,so1304,0,5.036,1
93,1,25,93,right,so1304,0,5.46,0
94,1,60,94,right,so1304,0,5.1000000000000005,0
95,1,10,95,right,so1304,1,5.699,1
96,0,0,96,right,so1304,1,4.857,0
97,0,0,97,right,so1304,1,4.907,0
98,0,0,98,right,so1304,0,6.061999999999999,1
99,0,0,99,right,so1304,0,7.343999999999999,1
100,0,0,100,right,so1304,1,59.147,0
101,0,0,101,right,so1304,0,176.5,1
102,1,25,102,right,so1304,0,21.447,0
103,0,0,103,right,so1304,1,5.496,0
104,1,10,104,right,so1304,1,6.033,1
105,1,15,105,right,so1304,0,5.056,0
106,1,15,106,right,so1304,0,5.399,0
107,0,0,107,right,so1304,1,6.949000000000001,0
108,1,15,108,right,so1304,1,21.607000000000003,1
109,0,0,109,right,so1304,0,5.117,1
110,0,0,110,right,so1304,0,4.77,1
111,1,10,111,right,so1304,1,5.51,1
112,0,0,112,right,so1304,1,4.913,0
113,0,0,113,right,so1304,1,6.667,0
114,0,0,114,right,so1304,1,7.034000000000001,0
115,0,0,115,right,so1304,0,20.192999999999998,1
116,0,0,116,right,so1304,0,5.099,1
117,1,25,117,right,so1304,1,5.35,1
118,0,0,118,right,so1304,1,7.545,0
119,1,60,119,right,so1304,1,7.642,1
120,0,0,120,right,so1304,0,5.697,1
121,0,0,121,right,so1304,0,5.381,1
122,1,25,122,right,so1304,0,8.262,0
123,0,0,123,right,so1304,0,12.781,1
124,1,60,124,right,so1304,1,5.167,1
125,0,0,125,right,so1304,1,5.063,0
126,1,10,126,right,so1304,1,5.207,1
127,1,15,127,right,so1304,1,23138.333,1
128,0,0,128,right,so1304,1,10.798,0
129,0,0,129,right,so1304,1,5.341,0
130,0,0,130,right,so1304,1,5.013,0
131,1,25,131,right,so1304,1,5.146999999999999,1
132,1,60,132,right,so1304,0,5.12,0
133,1,25,133,right,so1304,0,4.9719999999999995,0
134,0,0,134,right,so1304,1,205.85899999999998,0
135,1,60,135,right,so1304,1,5.032,1
136,0,0,136,right,so1304,1,4.994,0
137,1,10,137,right,so1304,1,4.983,1
138,0,0,138,right,so1304,1,4.902,0
139,1,15,139,right,so1304,0,4.81,0
140,0,0,140,right,so1304,1,4335.228,0
141,0,0,141,right,so1304,1,58992.328,0
142,0,0,142,right,so1304,1,94722.404,0
143,0,0,143,right,so1304,0,889.2679999999999,1
144,0,0,144,right,so1304,1,824.589,0
145,0,0,145,right,so1304,1,14107.054,0
146,0,0,146,right,so1304,1,217737.031,0
147,0,0,147,right,so1304,0,594.933,1
148,1,10,148,right,so1304,1,492.64599999999996,1
149,1,15,149,right,so1304,0,44.622,0
150,1,25,150,right,so1304,1,670.199,1
151,1,10,151,right,so1304,0,379.044,0
152,1,60,152,right,so1304,1,396.55400000000003,1
153,1,10,153,right,so1304,0,328.823,0
154,1,15,154,right,so1304,1,207.989,1
155,0,0,155,right,so1304,0,183.988,1
156,0,0,156,right,so1304,1,155.17000000000002,0
157,0,0,157,right,so1304,0,26.508,1
158,0,0,158,right,so1304,1,6.361999999999999,0
159,1,25,159,right,so1304,0,10.966,0
160,1,15,160,right,so1304,1,5.407,1
161,0,0,161,right,so1304,1,14.705,0
162,1,60,162,right,so1304,0,35.713,0
163,0,0,163,right,so1304,0,14824.949,1
164,1,60,164,right,so1304,1,359.253,1
165,0,0,165,right,so1304,1,1973.124,0
166,1,10,166,right,so1304,0,266.578,0
167,0,0,167,right,so1304,1,80.717,0
168,0,0,168,right,so1304,0,32.503,1
169,1,15,169,right,so1304,1,6.588,1
170,0,0,170,right,so1304,0,22.294,1
171,0,0,171,right,so1304,1,180.95,0
172,0,0,172,right,so1304,0,586.6550000000001,1
173,0,0,173,right,so1304,1,4.988,0
174,1,60,174,right,so1304,0,10785.17,0
175,0,0,175,right,so1304,1,284.314,0
176,0,0,176,right,so1304,0,321.866,1
177,1,15,177,right,so1304,1,264.55,1
178,0,0,178,right,so1304,0,17.051000000000002,1
179,1,25,179,right,so1304,1,5.4079999999999995,1
180,1,25,180,right,so1304,0,127.22500000000001,0
181,1,15,181,right,so1304,1,36.712,1
182,1,10,182,right,so1304,0,121.184,0
183,0,0,183,right,so1304,1,377.062,0
184,0,0,184,right,so1304,0,119.81400000000001,1
185,1,15,185,right,so1304,1,168.542,1
186,1,10,186,right,so1304,0,152.518,0
187,1,60,187,right,so1304,1,95.704,1
188,1,15,188,right,so1304,0,13.251000000000001,0
189,0,0,189,right,so1304,1,72.005,0
190,0,0,190,right,so1304,0,15.695,1
191,1,10,191,right,so1304,1,4.844,1
192,1,10,192,right,so1304,0,24.051,0
193,1,15,193,right,so1304,1,5.186999999999999,1
194,1,60,194,right,so1304,0,120.59400000000001,0
195,1,15,195,right,so1304,1,5.909,1
196,0,0,196,right,so1304,0,5.665,1
197,1,60,197,right,so1304,1,6.577999999999999,1
198,1,15,198,right,so1304,0,5.36,0
199,1,25,199,right,so1304,1,36.202999999999996,1
