,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,srd389,1,16393.234,1
1,1,10,1,right,srd389,0,3370.951,0
2,1,10,2,right,srd389,0,1352.6119999999999,0
3,1,15,3,right,srd389,0,3032.946,0
4,0,0,4,right,srd389,0,1293.143,1
5,1,60,5,right,srd389,1,1459.416,1
6,0,0,6,right,srd389,0,2147.078,1
7,1,60,7,right,srd389,1,1252.972,1
8,1,25,8,right,srd389,1,1381.3470000000002,1
9,1,15,9,right,srd389,0,1823.901,0
10,0,0,10,right,srd389,0,1583.8980000000001,1
11,0,0,11,right,srd389,0,2787.1929999999998,1
12,0,0,12,right,srd389,0,1617.142,1
13,0,0,13,right,srd389,0,3130.366,1
14,1,15,14,right,srd389,1,3717.691,1
15,1,10,15,right,srd389,0,1379.0439999999999,0
16,0,0,16,right,srd389,0,1827.6090000000002,1
17,0,0,17,right,srd389,0,2209.27,1
18,0,0,18,right,srd389,0,2945.9629999999997,1
19,0,0,19,right,srd389,0,1329.439,1
20,1,25,20,right,srd389,1,5697.544,1
21,0,0,21,right,srd389,0,3444.037,1
22,0,0,22,right,srd389,0,2812.828,1
23,1,60,23,right,srd389,1,1424.662,1
24,1,60,24,right,srd389,1,1028.1260000000002,1
25,0,0,25,right,srd389,0,2120.304,1
26,1,60,26,right,srd389,1,1884.112,1
27,1,10,27,right,srd389,0,2275.1220000000003,0
28,1,60,28,right,srd389,1,1361.543,1
29,0,0,29,right,srd389,0,9696.166,1
30,1,15,30,right,srd389,0,5551.203,0
31,1,25,31,right,srd389,1,3881.948,1
32,0,0,32,right,srd389,0,4078.2230000000004,1
33,0,0,33,right,srd389,0,2887.203,1
34,0,0,34,right,srd389,0,4986.1050000000005,1
35,1,60,35,right,srd389,1,1697.706,1
36,1,25,36,right,srd389,1,1394.572,1
37,1,25,37,right,srd389,1,2575.085,1
38,0,0,38,right,srd389,0,2615.249,1
39,1,10,39,right,srd389,0,4420.782,0
40,0,0,40,right,srd389,0,2679.315,1
41,1,25,41,right,srd389,0,3086.4410000000003,0
42,1,25,42,right,srd389,1,2867.9649999999997,1
43,1,60,43,right,srd389,1,2078.143,1
44,1,10,44,right,srd389,0,2685.804,0
45,1,25,45,right,srd389,1,5583.115000000001,1
46,1,25,46,right,srd389,0,3623.05,0
47,0,0,47,right,srd389,0,2873.241,1
48,0,0,48,right,srd389,1,4951.893,0
49,0,0,49,right,srd389,1,9156.009,0
50,1,10,50,right,srd389,0,6008.178,0
51,1,25,51,right,srd389,0,3633.15,0
52,0,0,52,right,srd389,0,3600.615,1
53,0,0,53,right,srd389,0,4993.416,1
54,1,25,54,right,srd389,1,1883.191,1
55,0,0,55,right,srd389,0,10973.026000000002,1
56,0,0,56,right,srd389,0,3694.063,1
57,0,0,57,right,srd389,0,2913.881,1
58,0,0,58,right,srd389,0,2674.892,1
59,1,25,59,right,srd389,0,6338.363,0
60,1,10,60,right,srd389,0,6169.727,0
61,1,15,61,right,srd389,0,3156.524,0
62,1,15,62,right,srd389,0,3536.939,0
63,1,15,63,right,srd389,0,6210.067,0
64,0,0,64,right,srd389,0,4835.732,1
65,1,10,65,right,srd389,0,6098.922,0
66,0,0,66,right,srd389,0,3408.938,1
67,0,0,67,right,srd389,0,3579.5170000000003,1
68,1,60,68,right,srd389,1,1406.449,1
69,0,0,69,right,srd389,0,2991.368,1
70,1,60,70,right,srd389,1,1197.403,1
71,0,0,71,right,srd389,0,2380.8720000000003,1
72,0,0,72,right,srd389,0,5075.879,1
73,0,0,73,right,srd389,0,3474.973,1
74,1,10,74,right,srd389,0,13401.868,0
75,1,15,75,right,srd389,0,5699.937,0
76,1,10,76,right,srd389,0,1345.126,0
77,0,0,77,right,srd389,0,2306.416,1
78,0,0,78,right,srd389,0,1692.941,1
79,1,25,79,right,srd389,0,1767.344,0
80,0,0,80,right,srd389,1,2102.461,0
81,1,60,81,right,srd389,1,1443.368,1
82,0,0,82,right,srd389,0,1784.273,1
83,0,0,83,right,srd389,0,949.145,1
84,0,0,84,right,srd389,0,2070.034,1
85,0,0,85,right,srd389,0,1072.416,1
86,1,15,86,right,srd389,0,1466.1960000000001,0
87,1,25,87,right,srd389,0,3284.662,0
88,1,10,88,right,srd389,0,2947.677,0
89,1,60,89,right,srd389,1,1489.992,1
90,0,0,90,right,srd389,0,2708.143,1
91,0,0,91,right,srd389,0,2225.3120000000004,1
92,0,0,92,right,srd389,0,2005.5580000000002,1
93,1,25,93,right,srd389,1,1423.19,1
94,1,60,94,right,srd389,1,1489.4089999999999,1
95,1,10,95,right,srd389,0,2062.952,0
96,0,0,96,right,srd389,0,2599.65,1
97,0,0,97,right,srd389,0,1447.897,1
98,0,0,98,right,srd389,0,2999.276,1
99,0,0,99,right,srd389,0,1906.781,1
100,0,0,100,right,srd389,0,2307.925,1
101,0,0,101,right,srd389,0,4026.6409999999996,1
102,1,25,102,right,srd389,0,3423.586,0
103,0,0,103,right,srd389,0,2862.152,1
104,1,10,104,right,srd389,0,2180.67,0
105,1,15,105,right,srd389,0,1984.705,0
106,1,15,106,right,srd389,0,2588.027,0
107,0,0,107,right,srd389,0,1468.341,1
108,1,15,108,right,srd389,0,3294.342,0
109,0,0,109,right,srd389,0,5015.473,1
110,0,0,110,right,srd389,0,1528.005,1
111,1,10,111,right,srd389,0,2151.902,0
112,0,0,112,right,srd389,0,1214.9730000000002,1
113,0,0,113,right,srd389,0,1437.1940000000002,1
114,0,0,114,right,srd389,0,16982.845,1
115,0,0,115,right,srd389,0,1501.9389999999999,1
116,0,0,116,right,srd389,0,2086.8419999999996,1
117,1,25,117,right,srd389,1,1957.432,1
118,0,0,118,right,srd389,0,3200.5910000000003,1
119,1,60,119,right,srd389,1,1242.9470000000001,1
120,0,0,120,right,srd389,0,1772.451,1
121,0,0,121,right,srd389,0,1841.3790000000001,1
122,1,25,122,right,srd389,0,6716.343,0
123,0,0,123,right,srd389,0,3458.948,1
124,1,60,124,right,srd389,1,3418.1620000000003,1
125,0,0,125,right,srd389,0,2852.357,1
126,1,10,126,right,srd389,0,6623.019,0
127,1,15,127,right,srd389,0,1827.0649999999998,0
128,0,0,128,right,srd389,0,2883.765,1
129,0,0,129,right,srd389,0,1228.543,1
130,0,0,130,right,srd389,0,2003.1979999999999,1
131,1,25,131,right,srd389,1,1496.0659999999998,1
132,1,60,132,right,srd389,1,942.988,1
133,1,25,133,right,srd389,1,1207.0780000000002,1
134,0,0,134,right,srd389,0,1347.648,1
135,1,60,135,right,srd389,1,1755.8290000000002,1
136,0,0,136,right,srd389,0,1188.892,1
137,1,10,137,right,srd389,0,1913.249,0
138,0,0,138,right,srd389,0,2442.851,1
139,1,15,139,right,srd389,0,1865.115,0
140,0,0,140,right,srd389,0,1488.98,1
141,0,0,141,right,srd389,0,2167.565,1
142,0,0,142,right,srd389,0,2024.148,1
143,0,0,143,right,srd389,0,1214.46,1
144,0,0,144,right,srd389,0,1621.9479999999999,1
145,0,0,145,right,srd389,0,1986.6,1
146,0,0,146,right,srd389,0,2019.157,1
147,0,0,147,right,srd389,0,2915.9320000000002,1
148,1,10,148,right,srd389,0,1320.031,0
149,1,15,149,right,srd389,0,1171.688,0
150,1,25,150,right,srd389,0,1203.478,0
151,1,10,151,right,srd389,0,2288.751,0
152,1,60,152,right,srd389,1,2021.3960000000002,1
153,1,10,153,right,srd389,0,1419.073,0
154,1,15,154,right,srd389,1,3528.6270000000004,1
155,0,0,155,right,srd389,0,1385.48,1
156,0,0,156,right,srd389,0,1299.382,1
157,0,0,157,right,srd389,0,1191.83,1
158,0,0,158,right,srd389,0,1534.386,1
159,1,25,159,right,srd389,1,2844.202,1
160,1,15,160,right,srd389,0,5119.793,0
161,0,0,161,right,srd389,0,1767.308,1
162,1,60,162,right,srd389,1,1640.422,1
163,0,0,163,right,srd389,0,7265.854,1
164,1,60,164,right,srd389,1,1682.432,1
165,0,0,165,right,srd389,0,3221.257,1
166,1,10,166,right,srd389,0,1662.133,0
167,0,0,167,right,srd389,0,1323.287,1
168,0,0,168,right,srd389,0,1179.2279999999998,1
169,1,15,169,right,srd389,1,1921.4260000000002,1
170,0,0,170,right,srd389,0,1529.9910000000002,1
171,0,0,171,right,srd389,0,1811.337,1
172,0,0,172,right,srd389,0,2263.2729999999997,1
173,0,0,173,right,srd389,0,1204.441,1
174,1,60,174,right,srd389,1,1164.491,1
175,0,0,175,right,srd389,0,1678.982,1
176,0,0,176,right,srd389,0,1333.917,1
177,1,15,177,right,srd389,0,1033.794,0
178,0,0,178,right,srd389,0,1410.866,1
179,1,25,179,right,srd389,1,1585.669,1
180,1,25,180,right,srd389,1,1389.621,1
181,1,15,181,right,srd389,0,2267.291,0
182,1,10,182,right,srd389,1,5059.629,1
183,0,0,183,right,srd389,0,2338.415,1
184,0,0,184,right,srd389,0,1050.29,1
185,1,15,185,right,srd389,1,1745.75,1
186,1,10,186,right,srd389,0,1333.608,0
187,1,60,187,right,srd389,1,1729.9,1
188,1,15,188,right,srd389,1,4836.912,1
189,0,0,189,right,srd389,0,1771.992,1
190,0,0,190,right,srd389,0,1130.6909999999998,1
191,1,10,191,right,srd389,0,862.5429999999999,0
192,1,10,192,right,srd389,0,1137.473,0
193,1,15,193,right,srd389,0,1153.9170000000001,0
194,1,60,194,right,srd389,1,1570.688,1
195,1,15,195,right,srd389,0,1933.7359999999999,0
196,0,0,196,right,srd389,0,1298.2169999999999,1
197,1,60,197,right,srd389,1,1234.254,1
198,1,15,198,right,srd389,1,2464.654,1
199,1,25,199,right,srd389,1,1340.8850000000002,1
