,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,tg35,0,3252.472,0
1,1,10,1,left,tg35,1,1504.471,1
2,1,10,2,left,tg35,1,1864.182,1
3,1,15,3,left,tg35,0,37.681,0
4,0,0,4,left,tg35,1,168.09099999999998,0
5,1,60,5,left,tg35,1,54.482,1
6,0,0,6,left,tg35,0,528411.336,1
7,1,60,7,left,tg35,1,2325.8399999999997,1
8,1,25,8,left,tg35,1,2745.981,1
9,1,15,9,left,tg35,1,2733.997,1
10,0,0,10,left,tg35,0,2626.2560000000003,1
11,0,0,11,left,tg35,0,3356.0660000000003,1
12,0,0,12,left,tg35,0,1917.448,1
13,0,0,13,left,tg35,0,1571.473,1
14,1,15,14,left,tg35,0,2105.9809999999998,0
15,1,10,15,left,tg35,0,1896.62,0
16,0,0,16,left,tg35,0,1905.268,1
17,0,0,17,left,tg35,0,2056.706,1
18,0,0,18,left,tg35,0,25226.308,1
19,0,0,19,left,tg35,0,3673.475,1
20,1,25,20,left,tg35,0,2846.286,0
21,0,0,21,left,tg35,0,1414.2250000000001,1
22,0,0,22,left,tg35,0,1258.488,1
23,1,60,23,left,tg35,1,2218.118,1
24,1,60,24,left,tg35,1,2065.79,1
25,0,0,25,left,tg35,0,2041.4699999999998,1
26,1,60,26,left,tg35,1,1695.178,1
27,1,10,27,left,tg35,0,4939.942,0
28,1,60,28,left,tg35,1,2063.274,1
29,0,0,29,left,tg35,0,6023.558999999999,1
30,1,15,30,left,tg35,0,1811.164,0
31,1,25,31,left,tg35,0,1207.0939999999998,0
32,0,0,32,left,tg35,0,2044.54,1
33,0,0,33,left,tg35,0,1849.1580000000001,1
34,0,0,34,left,tg35,0,1321.844,1
35,1,60,35,left,tg35,1,2227.6319999999996,1
36,1,25,36,left,tg35,0,1378.021,0
37,1,25,37,left,tg35,1,1597.8980000000001,1
38,0,0,38,left,tg35,0,1191.7,1
39,1,10,39,left,tg35,0,4664.323,0
