,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,toa220,1,6874.392,1
1,1,10,1,right,toa220,0,7900.716,0
2,1,10,2,right,toa220,0,1838.546,0
3,1,15,3,right,toa220,0,2517.29,0
4,0,0,4,right,toa220,0,2849.158,1
5,1,60,5,right,toa220,1,2141.345,1
6,0,0,6,right,toa220,0,2436.245,1
7,1,60,7,right,toa220,1,1275.616,1
8,1,25,8,right,toa220,1,1116.217,1
9,1,15,9,right,toa220,0,2554.685,0
10,0,0,10,right,toa220,0,2948.549,1
11,0,0,11,right,toa220,0,1724.354,1
12,0,0,12,right,toa220,0,1442.449,1
13,0,0,13,right,toa220,1,22636.579,0
14,1,15,14,right,toa220,1,1500.1,1
15,1,10,15,right,toa220,0,1612.1460000000002,0
16,0,0,16,right,toa220,0,973.322,1
17,0,0,17,right,toa220,0,863.488,1
18,0,0,18,right,toa220,0,1112.403,1
19,0,0,19,right,toa220,0,1189.983,1
20,1,25,20,right,toa220,1,5796.949,1
21,0,0,21,right,toa220,1,1566.933,0
22,0,0,22,right,toa220,0,1814.057,1
23,1,60,23,right,toa220,1,1112.413,1
24,1,60,24,right,toa220,1,936.183,1
25,0,0,25,right,toa220,0,1925.199,1
26,1,60,26,right,toa220,1,1000.8779999999999,1
27,1,10,27,right,toa220,0,1283.727,0
28,1,60,28,right,toa220,1,1095.051,1
29,0,0,29,right,toa220,0,1094.746,1
30,1,15,30,right,toa220,0,963.758,0
31,1,25,31,right,toa220,1,2806.533,1
32,0,0,32,right,toa220,0,1137.9109999999998,1
33,0,0,33,right,toa220,0,956.819,1
34,0,0,34,right,toa220,0,753.323,1
35,1,60,35,right,toa220,1,1042.0069999999998,1
36,1,25,36,right,toa220,1,1054.9660000000001,1
37,1,25,37,right,toa220,1,884.9449999999999,1
38,0,0,38,right,toa220,0,1537.1889999999999,1
39,1,10,39,right,toa220,0,1746.164,0
40,0,0,40,right,toa220,0,1327.306,1
41,1,25,41,right,toa220,0,125.67600000000002,0
42,1,25,42,right,toa220,0,67.168,0
43,1,60,43,right,toa220,1,416.17199999999997,1
44,1,10,44,right,toa220,1,1226.7920000000001,1
45,1,25,45,right,toa220,1,1287.808,1
46,1,25,46,right,toa220,1,1245.375,1
47,0,0,47,right,toa220,0,1837.205,1
48,0,0,48,right,toa220,0,1081.669,1
49,0,0,49,right,toa220,0,1600.512,1
50,1,10,50,right,toa220,0,2041.4119999999998,0
51,1,25,51,right,toa220,1,2583.4959999999996,1
52,0,0,52,right,toa220,1,2011.907,0
53,0,0,53,right,toa220,1,5063.645,0
54,1,25,54,right,toa220,1,955.491,1
55,0,0,55,right,toa220,0,1469.1860000000001,1
56,0,0,56,right,toa220,0,1246.188,1
57,0,0,57,right,toa220,0,948.55,1
58,0,0,58,right,toa220,0,2822.4700000000003,1
59,1,25,59,right,toa220,1,1600.726,1
60,1,10,60,right,toa220,0,1821.278,0
