,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,wx556,1,2779.201,1
1,1,10,1,left,wx556,0,1412.21,0
2,1,10,2,left,wx556,1,18764.0,1
3,1,15,3,left,wx556,0,870.463,0
4,0,0,4,left,wx556,1,766.891,0
5,1,60,5,left,wx556,0,751.668,0
6,0,0,6,left,wx556,1,910.937,0
7,1,60,7,left,wx556,0,755.239,0
8,1,25,8,left,wx556,1,739.777,1
9,1,15,9,left,wx556,0,564.939,0
10,0,0,10,left,wx556,1,529.435,0
11,0,0,11,left,wx556,0,435.53700000000003,1
12,0,0,12,left,wx556,1,534.25,0
13,0,0,13,left,wx556,0,476.4,1
14,1,15,14,left,wx556,1,367.859,1
15,1,10,15,left,wx556,0,282.222,0
16,0,0,16,left,wx556,1,888.033,0
17,0,0,17,left,wx556,0,489.445,1
18,0,0,18,left,wx556,1,824.635,0
19,0,0,19,left,wx556,0,837.367,1
20,1,25,20,left,wx556,1,984.81,1
21,0,0,21,left,wx556,0,1124.2179999999998,1
22,0,0,22,left,wx556,1,762.143,0
23,1,60,23,left,wx556,0,354.18300000000005,0
24,1,60,24,left,wx556,1,505.702,1
25,0,0,25,left,wx556,0,369.389,1
26,1,60,26,left,wx556,1,8743.562,1
27,1,10,27,left,wx556,0,681.944,0
28,1,60,28,left,wx556,1,568.8069999999999,1
29,0,0,29,left,wx556,0,798.145,1
30,1,15,30,left,wx556,1,629.445,1
31,1,25,31,left,wx556,0,569.3240000000001,0
32,0,0,32,left,wx556,1,716.3779999999999,0
33,0,0,33,left,wx556,0,390.898,1
34,0,0,34,left,wx556,1,565.093,0
35,1,60,35,left,wx556,0,622.771,0
36,1,25,36,left,wx556,1,505.812,1
37,1,25,37,left,wx556,0,602.5129999999999,0
38,0,0,38,left,wx556,1,1274.214,0
39,1,10,39,left,wx556,0,769.1980000000001,0
40,0,0,40,left,wx556,1,785.759,0
41,1,25,41,left,wx556,0,584.054,0
42,1,25,42,left,wx556,1,710.936,1
43,1,60,43,left,wx556,0,1193.441,0
44,1,10,44,left,wx556,1,701.348,1
45,1,25,45,left,wx556,0,695.4820000000001,0
46,1,25,46,left,wx556,1,5919.353,1
47,0,0,47,left,wx556,0,969.024,1
48,0,0,48,left,wx556,1,28385.772,0
49,0,0,49,left,wx556,0,684.519,1
50,1,10,50,left,wx556,1,1233.68,1
51,1,25,51,left,wx556,0,991.974,0
52,0,0,52,left,wx556,1,89091.487,0
53,0,0,53,left,wx556,0,750.112,1
54,1,25,54,left,wx556,1,1673.87,1
55,0,0,55,left,wx556,0,847.3439999999999,1
